date,close
2020-01-27,50.09
2020-01-28,50.55
2020-01-29,50.49
2020-01-30,51.28
2020-01-31,49.71
2020-02-03,49.69
2020-02-04,50.2
2020-02-05,51.53
2020-02-06,51.87
2020-02-07,51.58
2020-02-10,51.88
2020-02-11,52.39
2020-02-12,52.47
2020-02-13,52.38
2020-02-14,52.28
2020-02-18,51.83
2020-02-19,51.79
2020-02-20,52.28
2020-02-21,51.23
2020-02-24,49.38
2020-02-25,47.58
2020-02-26,46.92
2020-02-27,43.89
2020-02-28,42.72
2020-03-02,44.56
2020-03-03,42.57
2020-03-04,43.83
2020-03-05,40.62
2020-03-06,39.18
2020-03-09,32.66
2020-03-10,35.02
2020-03-11,33.3
2020-03-12,28.3
2020-03-13,31.93
2020-03-16,26.8
2020-03-17,28.43
2020-03-18,28.18
2020-03-19,26.8
2020-03-20,24.38
2020-03-23,23.53
2020-03-24,27.61
2020-03-25,29.74
2020-03-26,32.53
2020-03-27,30.87
2020-03-30,32.03
2020-03-31,30.57
2020-04-01,27.9
2020-04-02,28.05
2020-04-03,27.72
2020-04-06,30.63
2020-04-07,31.58
2020-04-08,33.47
2020-04-09,35.46
2020-04-13,34.32
2020-04-14,34.43
2020-04-15,32.47
2020-04-16,30.95
2020-04-17,33.06
2020-04-20,32.55
2020-04-21,31.46
2020-04-22,31.76
2020-04-23,31.9
2020-04-24,33.3
2020-04-27,34.42
2020-04-28,35.18
2020-04-29,37.48
2020-04-30,36.08
2020-05-01,34.68
2020-05-04,34.18
2020-05-05,34.27
2020-05-06,32.97
2020-05-07,34.44
2020-05-08,35.22
2020-05-11,33.97
2020-05-12,32.37
2020-05-13,30.77
2020-05-14,31.83
2020-05-15,31.72
2020-05-18,33.42
2020-05-19,32.39
2020-05-20,33.16
2020-05-21,33.49
2020-05-22,33.34
2020-05-26,36.1
2020-05-27,36.93
2020-05-28,36.46
2020-05-29,36.01
2020-06-01,36.37
2020-06-02,36.39
2020-06-03,37.88
2020-06-04,39.34
2020-06-05,40.74
2020-06-08,43.0
2020-06-09,41.55
2020-06-10,39.5
2020-06-11,35.93
2020-06-12,37.45
2020-06-15,38.07
2020-06-16,38.69
2020-06-17,37.82
2020-06-18,38.11
2020-06-19,37.32
2020-06-22,36.93
2020-06-23,37.04
2020-06-24,35.53
2020-06-25,36.34
2020-06-26,35.07
2020-06-29,35.57
2020-06-30,36.52
2020-07-01,35.51
2020-07-02,35.65
2020-07-06,37.09
2020-07-07,36.02
2020-07-08,36.77
2020-07-09,35.39
2020-07-10,36.94
2020-07-13,37.41
2020-07-14,37.89
2020-07-15,38.64
2020-07-16,38.73
2020-07-17,38.47
2020-07-20,37.78
2020-07-21,38.32
2020-07-22,38.42
2020-07-23,38.56
2020-07-24,38.22
2020-07-27,37.8
2020-07-28,37.59
2020-07-29,38.68
2020-07-30,37.55
2020-07-31,37.85
2020-08-03,37.3
2020-08-04,36.9
2020-08-05,38.28
2020-08-06,36.98
2020-08-07,38.72
2020-08-10,39.78
2020-08-11,40.57
2020-08-12,40.04
2020-08-13,39.44
2020-08-14,39.61
2020-08-17,38.88
2020-08-18,38.31
2020-08-19,38.2
2020-08-20,37.62
2020-08-21,37.28
2020-08-24,38.62
2020-08-25,38.66
2020-08-26,38.32
2020-08-27,39.07
2020-08-28,39.42
2020-08-31,38.46
2020-09-01,38.5
2020-09-02,38.82
2020-09-03,38.2
2020-09-04,39.15
2020-09-08,37.88
2020-09-09,38.28
2020-09-10,37.69
2020-09-11,38.23
2020-09-14,38.84
2020-09-15,37.51
2020-09-16,37.63
2020-09-17,39.32
2020-09-18,39.67
2020-09-21,37.43
2020-09-22,36.95
2020-09-23,36.09
2020-09-24,35.75
2020-09-25,36.26
2020-09-28,37.25
2020-09-29,36.77
2020-09-30,37.17
2020-10-01,37.26
2020-10-02,37.63
2020-10-05,38.52
2020-10-06,38.37
2020-10-07,39.34
2020-10-08,39.85
2020-10-09,39.48
2020-10-12,40.34
2020-10-13,39.0
2020-10-14,38.97
2020-10-15,39.13
2020-10-16,39.28
2020-10-19,39.07
2020-10-20,39.34
2020-10-21,39.13
2020-10-22,40.61
2020-10-23,40.94
2020-10-26,39.38
2020-10-27,37.77
2020-10-28,36.6
2020-10-29,37.31
2020-10-30,37.85
2020-11-02,38.7
2020-11-03,39.97
2020-11-04,39.0
2020-11-05,41.13
2020-11-06,40.48
2020-11-09,44.94
2020-11-10,46.03
2020-11-11,45.51
2020-11-12,43.78
2020-11-13,44.74
2020-11-16,46.03
2020-11-17,46.01
2020-11-18,45.71
2020-11-19,45.51
2020-11-20,45.87
2020-11-23,47.17
2020-11-24,48.67
2020-11-25,47.76
2020-11-27,47.45
2020-11-30,46.17
2020-12-01,46.91
2020-12-02,47.71
2020-12-03,47.71
2020-12-04,48.47
2020-12-07,47.58
2020-12-08,47.52
2020-12-09,47.64
2020-12-10,47.55
2020-12-11,47.19
2020-12-14,45.84
2020-12-15,46.24
2020-12-16,46.32
2020-12-17,46.49
2020-12-18,45.65
2020-12-21,45.46
2020-12-22,45.21
2020-12-23,46.13
2020-12-24,46.31
2020-12-28,46.25
2020-12-29,46.01
2020-12-30,46.4
2020-12-31,46.95
2021-01-04,46.08
2021-01-05,46.65
2021-01-06,49.43
2021-01-07,49.58
2021-01-08,49.41
