date,close
2020-01-27,30.35
2020-01-28,30.97
2020-01-29,31.27
2020-01-30,31.3
2020-01-31,31.06
2020-02-03,31.21
2020-02-04,32.25
2020-02-05,32.37
2020-02-06,32.48
2020-02-07,31.36
2020-02-10,32.11
2020-02-11,32.71
2020-02-12,33.66
2020-02-13,31.8
2020-02-14,31.52
2020-02-18,32.02
2020-02-19,32.09
2020-02-20,32.34
2020-02-21,31.39
2020-02-24,29.7
2020-02-25,27.89
2020-02-26,26.71
2020-02-27,25.52
2020-02-28,24.56
2020-03-02,25.05
2020-03-03,23.3
2020-03-04,23.3
2020-03-05,20.6
2020-03-06,20.39
2020-03-09,17.88
2020-03-10,20.79
2020-03-11,18.08
2020-03-12,15.26
2020-03-13,15.44
2020-03-16,10.25
2020-03-17,9.55
2020-03-18,7.14
2020-03-19,7.7
2020-03-20,9.11
2020-03-23,9.15
2020-03-24,12.18
2020-03-25,12.95
2020-03-26,13.45
2020-03-27,12.19
2020-03-30,11.53
2020-03-31,11.8
2020-04-01,11.77
2020-04-02,11.51
2020-04-03,10.58
2020-04-06,12.91
2020-04-07,13.63
2020-04-08,15.0
2020-04-09,14.55
2020-04-13,13.91
2020-04-14,15.04
2020-04-15,14.42
2020-04-16,13.82
2020-04-17,14.08
2020-04-20,13.53
2020-04-21,13.19
2020-04-22,13.29
2020-04-23,13.78
2020-04-24,13.94
2020-04-27,15.23
2020-04-28,15.81
2020-04-29,17.46
2020-04-30,16.83
2020-05-01,15.01
2020-05-04,14.78
2020-05-05,14.27
2020-05-06,13.91
2020-05-07,14.93
2020-05-08,15.59
2020-05-11,14.65
2020-05-12,13.84
2020-05-13,12.68
2020-05-14,13.52
2020-05-15,13.85
2020-05-18,15.31
2020-05-19,15.16
2020-05-20,16.5
2020-05-21,15.99
2020-05-22,15.9
2020-05-26,17.65
2020-05-27,18.11
2020-05-28,17.23
2020-05-29,17.18
2020-06-01,17.8
2020-06-02,18.2
2020-06-03,20.26
2020-06-04,21.72
2020-06-05,21.72
2020-06-08,23.76
2020-06-09,22.06
2020-06-10,20.51
2020-06-11,17.84
2020-06-12,19.17
2020-06-15,19.45
2020-06-16,19.35
2020-06-17,18.97
2020-06-18,18.58
2020-06-19,18.21
2020-06-22,17.77
2020-06-23,18.46
2020-06-24,16.93
2020-06-25,16.7
2020-06-26,15.72
2020-06-29,16.82
2020-06-30,16.8
2020-07-01,16.77
2020-07-02,16.86
2020-07-06,16.71
2020-07-07,16.14
2020-07-08,16.3
2020-07-09,16.0
2020-07-10,16.2
2020-07-13,16.38
2020-07-14,16.16
2020-07-15,18.2
2020-07-16,17.6
2020-07-17,16.81
2020-07-20,16.33
2020-07-21,16.69
2020-07-22,16.33
2020-07-23,15.89
2020-07-24,15.79
2020-07-27,14.96
2020-07-28,15.41
2020-07-29,16.25
2020-07-30,16.64
2020-07-31,16.09
2020-08-03,16.32
2020-08-04,16.72
2020-08-05,16.72
2020-08-06,18.46
2020-08-07,19.03
2020-08-10,21.65
2020-08-11,21.5
2020-08-12,21.13
2020-08-13,21.34
2020-08-14,21.81
2020-08-17,21.38
2020-08-18,20.95
2020-08-19,20.9
2020-08-20,20.83
2020-08-21,21.16
2020-08-24,22.27
2020-08-25,22.09
2020-08-26,21.99
2020-08-27,22.81
2020-08-28,23.86
2020-08-31,22.5
2020-09-01,22.77
2020-09-02,23.72
2020-09-03,23.07
2020-09-04,23.52
2020-09-08,23.17
2020-09-09,23.11
2020-09-10,22.84
2020-09-11,22.73
2020-09-14,23.06
2020-09-15,23.74
2020-09-16,23.01
2020-09-17,22.52
2020-09-18,22.02
2020-09-21,21.09
2020-09-22,21.62
2020-09-23,21.38
2020-09-24,21.19
2020-09-25,22.1
2020-09-28,22.63
2020-09-29,21.72
2020-09-30,21.75
2020-10-01,21.82
2020-10-02,21.66
2020-10-05,21.55
2020-10-06,21.05
2020-10-07,21.5
2020-10-08,21.93
2020-10-09,21.36
2020-10-12,21.4
2020-10-13,20.97
2020-10-14,21.09
2020-10-15,21.16
2020-10-16,21.24
2020-10-19,20.8
2020-10-20,21.41
2020-10-21,21.41
2020-10-22,22.62
2020-10-23,23.36
2020-10-26,22.13
2020-10-27,21.04
2020-10-28,20.1
2020-10-29,21.29
2020-10-30,20.57
2020-11-02,20.97
2020-11-03,21.75
2020-11-04,21.44
2020-11-05,21.84
2020-11-06,22.02
2020-11-09,25.3
2020-11-10,24.78
2020-11-11,23.98
2020-11-12,23.69
2020-11-13,25.9
2020-11-16,26.51
2020-11-17,26.42
2020-11-18,26.91
2020-11-19,27.24
2020-11-20,26.21
2020-11-23,26.15
2020-11-24,28.45
2020-11-25,28.39
2020-11-27,28.62
2020-11-30,28.25
2020-12-01,28.81
2020-12-02,29.35
2020-12-03,29.91
2020-12-04,30.72
2020-12-07,29.83
2020-12-08,29.89
2020-12-09,29.94
2020-12-10,30.93
2020-12-11,30.18
2020-12-14,29.51
2020-12-15,30.76
2020-12-16,30.98
2020-12-17,31.12
2020-12-18,31.67
2020-12-21,30.49
2020-12-22,30.35
2020-12-23,30.98
2020-12-24,30.74
2020-12-28,31.29
2020-12-29,30.77
2020-12-30,31.19
2020-12-31,31.51
2021-01-04,29.7
2021-01-05,30.36
2021-01-06,31.18
2021-01-07,30.6
2021-01-08,31.36
2021-01-11,30.79
2021-01-12,30.29
2021-01-13,30.04
2021-01-14,30.28
2021-01-15,29.8
2021-01-19,30.53
2021-01-20,31.06
2021-01-21,31.53
2021-01-22,31.39
2021-01-25,29.98
2021-01-26,29.59
2021-01-27,28.36
2021-01-28,29.56
2021-01-29,28.56
2021-02-01,29.27
2021-02-02,30.64
2021-02-03,30.89
2021-02-04,32.48
2021-02-05,34.25
2021-02-08,35.6
2021-02-09,35.82
2021-02-10,36.47
2021-02-11,35.3
2021-02-12,35.93
2021-02-16,34.99
2021-02-17,34.96
2021-02-18,35.04
2021-02-19,36.42
2021-02-22,37.52
2021-02-23,39.59
2021-02-24,38.63
2021-02-25,36.7
2021-02-26,37.79
2021-03-01,38.3
2021-03-02,38.54
2021-03-03,38.83
2021-03-04,37.29
2021-03-05,37.14
2021-03-08,37.85
2021-03-09,37.48
2021-03-10,37.62
2021-03-11,39.19
2021-03-12,38.98
2021-03-15,40.96
2021-03-16,39.91
2021-03-17,41.23
2021-03-18,39.51
2021-03-19,40.03
2021-03-22,39.03
2021-03-23,37.34
2021-03-24,36.9
2021-03-25,37.96
2021-03-26,37.68
2021-03-29,37.16
2021-03-30,38.21
2021-03-31,37.99
2021-04-01,39.7
2021-04-05,41.7
2021-04-06,41.52
2021-04-07,41.09
2021-04-08,42.14
2021-04-09,41.77
2021-04-12,41.16
2021-04-13,40.99
2021-04-14,41.26
2021-04-15,39.69
2021-04-16,40.26
2021-04-19,39.75
2021-04-20,39.55
2021-04-21,41.2
2021-04-22,40.75
2021-04-23,41.51
2021-04-26,41.47
2021-04-27,42.2
2021-04-28,42.02
2021-04-29,40.42
2021-04-30,40.72
2021-05-03,41.26
2021-05-04,40.51
2021-05-05,41.75
2021-05-06,38.91
2021-05-07,39.92
2021-05-10,39.46
2021-05-11,38.76
2021-05-12,37.14
2021-05-13,37.47
2021-05-14,39.11
2021-05-17,38.75
2021-05-18,39.48
2021-05-19,39.28
2021-05-20,39.91
2021-05-21,39.7
2021-05-24,41.74
2021-05-25,42.21
2021-05-26,42.86
2021-05-27,43.79
2021-05-28,42.87
2021-06-01,43.39
2021-06-02,43.23
2021-06-03,42.55
2021-06-04,42.77
2021-06-07,43.41
2021-06-08,44.16
2021-06-09,43.54
2021-06-10,42.67
2021-06-11,43.21
2021-06-14,42.22
2021-06-15,42.24
2021-06-16,42.1
2021-06-17,41.37
2021-06-18,40.86
2021-06-21,42.09
2021-06-22,42.3
2021-06-23,43.12
2021-06-24,44.06
2021-06-25,43.89
2021-06-28,42.39
2021-06-29,42.19
2021-06-30,42.65
2021-07-01,43.52
2021-07-02,43.25
2021-07-06,41.25
2021-07-07,40.36
2021-07-08,40.31
2021-07-09,41.6
2021-07-12,41.53
2021-07-13,40.65
2021-07-14,39.97
2021-07-15,39.2
2021-07-16,37.93
2021-07-19,36.63
2021-07-20,38.39
2021-07-21,39.86
2021-07-22,39.23
2021-07-23,38.76
2021-07-26,39.19
2021-07-27,38.04
2021-07-28,38.4
2021-07-29,38.17
2021-07-30,37.53
2021-08-02,37.37
2021-08-03,36.95
2021-08-04,37.27
2021-08-05,39.67
2021-08-06,39.81
2021-08-09,39.21
2021-08-10,39.72
2021-08-11,40.56
2021-08-12,40.71
2021-08-13,40.41
2021-08-16,39.42
2021-08-17,37.93
2021-08-18,38.64
2021-08-19,37.66
2021-08-20,38.4
2021-08-23,39.52
2021-08-24,40.91
2021-08-25,42.13
2021-08-26,41.98
2021-08-27,43.32
2021-08-30,42.66
2021-08-31,42.62
2021-09-01,42.2
2021-09-02,42.56
2021-09-03,42.54
2021-09-07,43.44
2021-09-08,42.44
2021-09-09,42.76
2021-09-10,42.29
2021-09-13,43.1
2021-09-14,41.41
2021-09-15,40.38
2021-09-16,41.3
2021-09-17,41.54
2021-09-20,41.28
2021-09-21,40.55
2021-09-22,43.02
2021-09-23,44.65
2021-09-24,44.62
2021-09-27,45.09
2021-09-28,44.88
2021-09-29,43.85
2021-09-30,43.15
2021-10-01,44.86
2021-10-04,44.51
2021-10-05,44.96
2021-10-06,44.64
2021-10-07,44.77
2021-10-08,44.43
2021-10-11,44.42
2021-10-12,48.69
2021-10-13,48.15
2021-10-14,48.44
2021-10-15,47.95
2021-10-18,48.24
2021-10-19,47.47
2021-10-20,47.07
2021-10-21,48.09
2021-10-22,48.03
2021-10-25,48.15
2021-10-26,47.24
2021-10-27,47.02
2021-10-28,46.97
2021-10-29,47.16
2021-11-01,48.47
2021-11-02,47.88
2021-11-03,48.7
2021-11-04,47.4
2021-11-05,50.37
2021-11-08,48.54
2021-11-09,47.33
2021-11-10,46.06
2021-11-11,45.42
2021-11-12,45.09
2021-11-15,45.82
2021-11-16,45.65
2021-11-17,45.51
2021-11-18,44.33
2021-11-19,44.28
2021-11-22,44.54
2021-11-23,42.51
2021-11-24,42.83
2021-11-26,41.85
2021-11-29,41.13
2021-11-30,39.58
2021-12-01,38.3
2021-12-02,41.23
2021-12-03,40.17
2021-12-06,42.21
2021-12-07,42.74
2021-12-08,42.89
