date,close
2020-01-27,86.36
2020-01-28,83.03
2020-01-29,83.71
2020-01-30,82.76
2020-01-31,81.69
2020-02-03,81.58
2020-02-04,80.35
2020-02-05,81.01
2020-02-06,81.06
2020-02-07,81.56
2020-02-10,81.81
2020-02-11,81.63
2020-02-12,82.52
2020-02-13,83.54
2020-02-14,83.42
2020-02-18,82.46
2020-02-19,82.02
2020-02-20,81.92
2020-02-21,81.1
2020-02-24,80.5
2020-02-25,79.19
2020-02-26,76.56
2020-02-27,75.13
2020-02-28,73.1
2020-03-02,76.24
2020-03-03,74.95
2020-03-04,76.94
2020-03-05,76.77
2020-03-06,75.32
2020-03-09,72.02
2020-03-10,75.77
2020-03-11,73.31
2020-03-12,65.59
2020-03-13,67.5
2020-03-16,60.19
2020-03-17,69.35
2020-03-18,70.52
2020-03-19,62.82
2020-03-20,62.27
2020-03-23,56.92
2020-03-24,62.47
2020-03-25,62.1
2020-03-26,65.82
2020-03-27,66.14
2020-03-30,71.58
2020-03-31,70.61
2020-04-01,69.31
2020-04-02,72.61
2020-04-03,73.44
2020-04-06,76.01
2020-04-07,75.15
2020-04-08,74.55
2020-04-09,77.15
2020-04-13,74.35
2020-04-14,76.6
2020-04-15,76.28
2020-04-16,77.71
2020-04-17,78.45
2020-04-20,78.06
2020-04-21,75.59
2020-04-22,76.69
2020-04-23,75.81
2020-04-24,77.13
2020-04-27,78.44
2020-04-28,78.35
2020-04-29,78.23
2020-04-30,78.42
2020-05-01,77.21
2020-05-04,78.7
2020-05-05,80.11
2020-05-06,80.11
2020-05-07,80.43
2020-05-08,82.02
2020-05-11,82.42
2020-05-12,84.31
2020-05-13,84.26
2020-05-14,87.76
2020-05-15,88.99
2020-05-18,88.17
2020-05-19,86.26
2020-05-20,86.8
2020-05-21,85.28
2020-05-22,85.94
2020-05-26,85.52
2020-05-27,86.0
2020-05-28,86.26
2020-05-29,87.58
2020-06-01,88.29
2020-06-02,87.71
2020-06-03,87.15
2020-06-04,85.39
2020-06-05,85.42
2020-06-08,86.39
2020-06-09,85.55
2020-06-10,86.21
2020-06-11,83.92
2020-06-12,83.27
2020-06-15,85.2
2020-06-16,86.49
2020-06-17,87.07
2020-06-18,86.94
2020-06-19,86.1
2020-06-22,86.35
2020-06-23,86.21
2020-06-24,86.14
2020-06-25,89.27
2020-06-26,88.13
2020-06-29,89.69
2020-06-30,89.71
2020-07-01,89.75
2020-07-02,90.81
2020-07-06,90.79
2020-07-07,91.57
2020-07-08,91.82
2020-07-09,91.92
2020-07-10,92.96
2020-07-13,91.46
2020-07-14,94.71
2020-07-15,94.6
2020-07-16,94.86
2020-07-17,95.45
2020-07-20,95.78
2020-07-21,96.79
2020-07-22,96.91
2020-07-23,97.95
2020-07-24,96.76
2020-07-27,98.01
2020-07-28,96.5
2020-07-29,97.17
2020-07-30,96.92
2020-07-31,97.45
2020-08-03,98.14
2020-08-04,99.13
2020-08-05,98.63
2020-08-06,99.53
2020-08-07,100.78
2020-08-10,100.91
2020-08-11,98.89
2020-08-12,100.83
2020-08-13,101.02
2020-08-14,100.78
2020-08-17,101.15
2020-08-18,101.25
2020-08-19,101.26
2020-08-20,101.45
2020-08-21,101.58
2020-08-24,101.42
2020-08-25,101.39
2020-08-26,102.75
2020-08-27,102.73
2020-08-28,102.3
2020-08-31,103.1
2020-09-01,102.97
2020-09-02,104.89
2020-09-03,102.01
2020-09-04,100.92
2020-09-08,98.76
2020-09-09,101.35
2020-09-10,99.1
2020-09-11,99.32
2020-09-14,100.05
2020-09-15,100.17
2020-09-16,99.34
2020-09-17,96.36
2020-09-18,94.98
2020-09-21,95.2
2020-09-22,96.2
2020-09-23,92.75
2020-09-24,94.42
2020-09-25,95.79
2020-09-28,97.59
2020-09-29,94.95
2020-09-30,97.05
2020-10-01,96.6
2020-10-02,96.42
2020-10-05,97.54
2020-10-06,95.82
2020-10-07,97.09
2020-10-08,97.17
2020-10-09,98.06
2020-10-12,100.45
2020-10-13,100.11
2020-10-14,99.01
2020-10-15,99.58
2020-10-16,99.7
2020-10-19,98.77
2020-10-20,97.97
2020-10-21,97.67
2020-10-22,97.32
2020-10-23,98.23
2020-10-26,97.03
2020-10-27,96.11
2020-10-28,92.83
2020-10-29,91.95
2020-10-30,90.26
2020-11-02,92.58
2020-11-03,93.84
2020-11-04,94.49
2020-11-05,94.27
2020-11-06,94.33
2020-11-09,89.16
2020-11-10,90.97
2020-11-11,93.45
2020-11-12,92.49
2020-11-13,92.31
2020-11-16,92.09
2020-11-17,91.33
2020-11-18,91.1
2020-11-19,91.62
2020-11-20,91.83
2020-11-23,91.5
2020-11-24,93.27
2020-11-25,92.8
2020-11-27,93.24
2020-11-30,93.49
2020-12-01,93.64
2020-12-02,91.42
2020-12-03,92.65
2020-12-04,93.95
2020-12-07,92.64
2020-12-08,93.44
2020-12-09,93.12
2020-12-10,93.05
2020-12-11,93.42
2020-12-14,93.28
2020-12-15,91.77
2020-12-16,92.71
2020-12-17,94.6
2020-12-18,93.37
2020-12-21,93.69
2020-12-22,92.96
2020-12-23,92.98
2020-12-24,93.47
2020-12-28,93.42
2020-12-29,94.82
2020-12-30,94.56
2020-12-31,95.6
2021-01-04,93.99
2021-01-05,94.23
2021-01-06,93.93
2021-01-07,94.79
2021-01-08,95.21
2021-01-11,93.63
2021-01-12,92.45
2021-01-13,93.26
2021-01-14,91.62
2021-01-15,93.43
2021-01-19,93.01
2021-01-20,91.75
2021-01-21,91.46
2021-01-22,91.87
2021-01-25,94.55
2021-01-26,96.09
2021-01-27,94.07
2021-01-28,91.02
2021-01-29,89.54
2021-02-01,89.18
2021-02-02,89.48
2021-02-03,88.72
2021-02-04,88.88
2021-02-05,90.29
2021-02-08,90.83
2021-02-09,90.77
2021-02-10,90.8
2021-02-11,89.88
2021-02-12,89.65
2021-02-16,86.93
2021-02-17,85.95
2021-02-18,86.49
2021-02-19,84.12
2021-02-22,83.96
2021-02-23,84.37
2021-02-24,84.8
2021-02-25,84.41
2021-02-26,84.28
2021-03-01,84.55
2021-03-02,84.9
2021-03-03,83.19
2021-03-04,82.9
2021-03-05,84.43
2021-03-08,84.15
2021-03-09,85.02
2021-03-10,85.9
2021-03-11,85.82
2021-03-12,86.81
2021-03-15,87.34
2021-03-16,87.23
2021-03-17,86.65
2021-03-18,86.32
2021-03-19,86.54
2021-03-22,87.85
2021-03-23,87.56
2021-03-24,87.53
2021-03-25,88.7
2021-03-26,90.21
2021-03-29,90.13
2021-03-30,89.9
2021-03-31,89.16
2021-04-01,89.24
2021-04-05,89.08
2021-04-06,89.73
2021-04-07,89.16
2021-04-08,89.64
2021-04-09,88.11
2021-04-12,88.23
2021-04-13,88.02
2021-04-14,87.91
2021-04-15,88.48
2021-04-16,88.79
2021-04-19,88.85
2021-04-20,90.62
2021-04-21,91.92
2021-04-22,91.42
2021-04-23,91.47
2021-04-26,90.35
2021-04-27,89.87
2021-04-28,89.32
2021-04-29,90.6
2021-04-30,90.36
2021-05-03,90.9
2021-05-04,90.37
2021-05-05,90.46
2021-05-06,90.23
2021-05-07,89.33
2021-05-10,90.68
2021-05-11,89.72
2021-05-12,88.94
2021-05-13,90.26
2021-05-14,89.56
2021-05-17,89.14
2021-05-18,89.19
2021-05-19,89.81
2021-05-20,90.87
2021-05-21,90.6
2021-05-24,90.6
2021-05-25,90.3
2021-05-26,89.66
2021-05-27,88.7
2021-05-28,89.06
2021-06-01,88.93
2021-06-02,89.68
2021-06-03,89.67
2021-06-04,89.81
2021-06-07,89.49
2021-06-08,88.5
2021-06-09,88.13
2021-06-10,88.74
2021-06-11,88.85
2021-06-14,89.2
2021-06-15,88.77
2021-06-16,87.57
2021-06-17,87.54
2021-06-18,86.13
2021-06-21,87.17
2021-06-22,87.26
2021-06-23,86.11
2021-06-24,86.28
2021-06-25,87.28
2021-06-28,88.15
2021-06-29,87.62
2021-06-30,88.32
2021-07-01,87.97
2021-07-02,88.59
2021-07-06,88.05
2021-07-07,88.18
2021-07-08,87.08
2021-07-09,87.1
2021-07-12,86.69
2021-07-13,85.7
2021-07-14,86.18
2021-07-15,87.07
2021-07-16,87.9
2021-07-19,88.61
2021-07-20,87.7
2021-07-21,85.56
2021-07-22,84.73
2021-07-23,85.72
2021-07-26,85.38
2021-07-27,85.75
2021-07-28,84.7
2021-07-29,84.25
2021-07-30,84.17
2021-08-02,84.09
2021-08-03,83.79
2021-08-04,83.18
2021-08-05,83.25
2021-08-06,83.43
2021-08-09,83.7
2021-08-10,84.24
2021-08-11,85.48
2021-08-12,85.68
2021-08-13,86.68
2021-08-16,87.38
2021-08-17,87.84
2021-08-18,86.34
2021-08-19,87.48
2021-08-20,87.56
2021-08-23,86.73
2021-08-24,85.88
2021-08-25,85.56
2021-08-26,84.93
2021-08-27,85.22
2021-08-30,85.45
2021-08-31,86.29
2021-09-01,87.4
2021-09-02,88.04
2021-09-03,88.08
2021-09-07,86.97
2021-09-08,88.35
2021-09-09,86.76
2021-09-10,85.55
2021-09-13,85.15
2021-09-14,85.08
2021-09-15,85.35
2021-09-16,86.11
2021-09-17,86.27
2021-09-20,85.65
2021-09-21,85.47
2021-09-22,85.33
2021-09-23,84.78
2021-09-24,84.55
2021-09-27,84.35
2021-09-28,83.26
2021-09-29,83.69
2021-09-30,81.03
2021-10-01,80.71
2021-10-04,80.69
2021-10-05,80.05
2021-10-06,80.28
2021-10-07,80.43
2021-10-08,79.31
2021-10-11,78.42
2021-10-12,78.1
2021-10-13,78.89
2021-10-14,80.26
2021-10-15,79.63
2021-10-18,79.41
2021-10-19,79.88
2021-10-20,80.69
2021-10-21,80.31
2021-10-22,80.73
2021-10-25,80.68
2021-10-26,81.06
2021-10-27,80.47
2021-10-28,81.18
2021-10-29,80.23
2021-11-01,80.69
2021-11-02,81.36
2021-11-03,82.25
2021-11-04,81.31
2021-11-05,81.23
2021-11-08,80.32
2021-11-09,80.98
2021-11-10,82.31
2021-11-11,81.46
2021-11-12,81.76
2021-11-15,82.69
2021-11-16,83.48
2021-11-17,83.95
2021-11-18,83.55
2021-11-19,83.97
2021-11-22,84.77
2021-11-23,85.41
2021-11-24,85.49
2021-11-26,85.54
2021-11-29,86.99
2021-11-30,85.82
2021-12-01,86.55
2021-12-02,87.01
2021-12-03,88.54
2021-12-06,90.11
2021-12-07,87.83
2021-12-08,88.65
2021-12-09,88.72
2021-12-10,90.51
2021-12-13,93.06
2021-12-14,91.58
2021-12-15,92.21
2021-12-16,94.66
2021-12-17,94.12
2021-12-20,93.91
2021-12-21,93.02
2021-12-22,93.39
2021-12-23,93.03
2021-12-27,94.13
2021-12-28,94.96
2021-12-29,95.62
2021-12-30,95.57
2021-12-31,96.61
2022-01-03,95.82
2022-01-04,96.5
2022-01-05,96.92
2022-01-06,96.49
2022-01-07,96.04
2022-01-10,94.62
2022-01-11,95.21
2022-01-12,95.37
2022-01-13,95.51
2022-01-14,96.35
2022-01-18,97.47
2022-01-19,96.06
2022-01-20,95.34
2022-01-21,95.71
2022-01-24,94.17
2022-01-25,93.02
2022-01-26,91.94
2022-01-27,98.2
2022-01-28,98.23
2022-01-31,100.31
2022-02-01,100.49
2022-02-02,101.66
2022-02-03,102.9
2022-02-04,101.73
2022-02-07,101.89
2022-02-08,102.44
2022-02-09,102.3
2022-02-10,100.44
2022-02-11,100.75
2022-02-14,100.4
2022-02-15,100.12
2022-02-16,98.39
2022-02-17,98.08
2022-02-18,97.79
2022-02-22,96.97
2022-02-23,96.61
2022-02-24,94.12
2022-02-25,96.21
2022-02-28,95.17
2022-03-01,96.25
2022-03-02,97.33
2022-03-03,99.56
2022-03-04,103.41
2022-03-07,104.06
2022-03-08,97.55
2022-03-09,98.31
2022-03-10,97.94
2022-03-11,96.52
2022-03-14,98.2
2022-03-15,98.28
2022-03-16,96.83
2022-03-17,96.89
2022-03-18,96.24
2022-03-21,96.72
2022-03-22,96.78
2022-03-23,96.14
2022-03-24,96.65
2022-03-25,97.92
2022-03-28,97.62
2022-03-29,96.9
2022-03-30,97.26
2022-03-31,99.8
2022-04-01,101.92
2022-04-04,101.35
2022-04-05,102.79
2022-04-06,102.52
2022-04-07,102.99
2022-04-08,102.12
2022-04-11,102.09
2022-04-12,102.04
2022-04-13,102.0
2022-04-14,101.57
2022-04-18,100.25
2022-04-19,101.53
2022-04-20,104.0
2022-04-21,104.28
2022-04-22,102.28
2022-04-25,102.37
2022-04-26,100.59
2022-04-27,101.95
2022-04-28,103.73
2022-04-29,100.57
2022-05-02,97.94
2022-05-03,97.73
2022-05-04,99.45
2022-05-05,96.44
2022-05-06,97.54
2022-05-09,98.52
2022-05-10,97.97
2022-05-11,98.14
2022-05-12,97.87
2022-05-13,100.27
2022-05-16,100.94
2022-05-17,101.01
2022-05-18,91.65
2022-05-19,89.44
2022-05-20,90.32
2022-05-23,91.62
2022-05-24,93.71
2022-05-25,93.41
2022-05-26,91.96
2022-05-27,92.94
2022-05-31,92.72
2022-06-01,90.72
2022-06-02,91.08
2022-06-03,89.85
2022-06-06,89.73
2022-06-07,89.65
2022-06-08,89.46
2022-06-09,87.36
2022-06-10,87.98
2022-06-13,86.73
2022-06-14,83.8
2022-06-15,83.73
2022-06-16,82.86
2022-06-17,82.54
2022-06-21,83.57
2022-06-22,83.45
2022-06-23,85.5
2022-06-24,87.84
2022-06-27,87.91
2022-06-28,86.84
2022-06-29,85.63
2022-06-30,83.25
2022-07-01,82.67
2022-07-05,84.1
2022-07-06,83.43
2022-07-07,82.68
2022-07-08,82.07
2022-07-11,82.33
2022-07-12,82.26
2022-07-13,83.12
2022-07-14,82.43
2022-07-15,81.74
2022-07-18,80.95
2022-07-19,81.96
2022-07-20,82.01
2022-07-21,83.0
2022-07-22,84.11
2022-07-25,84.57
2022-07-26,84.85
2022-07-27,85.4
2022-07-28,87.53
2022-07-29,87.35
2022-08-01,87.73
2022-08-02,88.37
2022-08-03,88.41
2022-08-04,88.29
2022-08-05,88.33
2022-08-08,89.18
2022-08-09,90.32
2022-08-10,89.81
2022-08-11,89.63
2022-08-12,90.67
2022-08-15,91.85
2022-08-16,92.47
2022-08-17,92.58
2022-08-18,92.07
2022-08-19,91.78
2022-08-22,90.34
2022-08-23,89.03
2022-08-24,88.82
2022-08-25,89.04
2022-08-26,86.6
2022-08-29,85.87
2022-08-30,84.77
2022-08-31,84.07
2022-09-01,84.79
2022-09-02,83.05
2022-09-06,82.2
2022-09-07,85.0
2022-09-08,79.3
2022-09-09,79.89
2022-09-12,81.41
2022-09-13,79.48
2022-09-14,79.41
2022-09-15,78.51
2022-09-16,79.14
2022-09-19,78.86
2022-09-20,77.36
2022-09-21,77.3
2022-09-22,76.67
2022-09-23,76.03
2022-09-26,75.36
2022-09-27,74.45
2022-09-28,75.04
2022-09-29,73.51
2022-09-30,71.27
2022-10-03,72.41
2022-10-04,74.43
2022-10-05,73.31
2022-10-06,72.43
2022-10-07,73.44
2022-10-10,75.86
2022-10-11,75.84
2022-10-12,74.48
2022-10-13,74.87
2022-10-14,73.54
2022-10-17,73.63
2022-10-18,74.61
2022-10-19,74.69
2022-10-20,72.79
2022-10-21,73.84
2022-10-24,74.5
2022-10-25,76.13
2022-10-26,76.4
2022-10-27,77.62
2022-10-28,79.2
2022-10-31,78.64
2022-11-01,78.59
2022-11-02,77.23
2022-11-03,76.76
2022-11-04,79.02
2022-11-07,79.94
2022-11-08,80.7
2022-11-09,79.21
2022-11-10,81.86
2022-11-11,83.77
2022-11-14,82.75
2022-11-15,83.65
2022-11-16,83.65
2022-11-17,83.12
2022-11-18,83.76
2022-11-21,85.15
2022-11-22,86.12
2022-11-23,86.11
2022-11-25,84.91
2022-11-28,83.75
2022-11-29,83.75
2022-11-30,85.18
2022-12-01,85.73
2022-12-02,86.38
2022-12-05,84.05
2022-12-06,84.38
2022-12-07,85.35
2022-12-08,85.65
2022-12-09,85.28
2022-12-12,85.98
2022-12-13,86.6
2022-12-14,86.27
2022-12-15,84.46
2022-12-16,83.41
2022-12-19,82.84
2022-12-20,82.99
2022-12-21,84.25
2022-12-22,84.18
2022-12-23,84.22
2022-12-27,84.83
2022-12-28,83.24
2022-12-29,84.14
2022-12-30,82.89
