date,close
2020-01-27,33.3
2020-01-28,33.44
2020-01-29,33.27
2020-01-30,33.51
2020-01-31,33.3
2020-02-03,33.71
2020-02-04,34.44
2020-02-05,34.48
2020-02-06,34.73
2020-02-07,34.46
2020-02-10,34.59
2020-02-11,34.58
2020-02-12,34.63
2020-02-13,34.85
2020-02-14,34.93
2020-02-18,34.8
2020-02-19,35.05
2020-02-20,35.2
2020-02-21,34.87
2020-02-24,34.1
2020-02-25,33.31
2020-02-26,32.94
2020-02-27,31.87
2020-02-28,31.21
2020-03-02,32.38
2020-03-03,31.89
2020-03-04,34.02
2020-03-05,33.57
2020-03-06,33.1
2020-03-09,30.93
2020-03-10,33.07
2020-03-11,30.91
2020-03-12,28.7
2020-03-13,31.2
2020-03-16,28.72
2020-03-17,29.87
2020-03-18,27.95
2020-03-19,27.16
2020-03-20,26.05
2020-03-23,25.49
2020-03-24,26.86
2020-03-25,26.83
2020-03-26,28.92
2020-03-27,28.2
2020-03-30,29.0
2020-03-31,28.13
2020-04-01,26.55
2020-04-02,27.53
2020-04-03,27.11
2020-04-06,29.04
2020-04-07,29.21
2020-04-08,30.13
2020-04-09,30.25
2020-04-13,29.77
2020-04-14,32.21
2020-04-15,31.15
2020-04-16,30.93
2020-04-17,31.1
2020-04-20,30.69
2020-04-21,29.52
2020-04-22,30.06
2020-04-23,29.82
2020-04-24,29.9
2020-04-27,30.26
2020-04-28,30.07
2020-04-29,31.07
2020-04-30,30.91
2020-05-01,29.76
2020-05-04,29.61
2020-05-05,30.33
2020-05-06,30.65
2020-05-07,31.05
2020-05-08,32.89
2020-05-11,33.2
2020-05-12,33.1
2020-05-13,32.59
2020-05-14,32.49
2020-05-15,33.01
2020-05-18,33.31
2020-05-19,33.58
2020-05-20,34.71
2020-05-21,34.18
2020-05-22,34.35
2020-05-26,34.51
2020-05-27,35.3
2020-05-28,35.44
2020-05-29,35.96
2020-06-01,36.3
2020-06-02,36.04
2020-06-03,36.26
2020-06-04,35.46
2020-06-05,36.12
2020-06-08,35.2
2020-06-09,35.22
2020-06-10,35.22
2020-06-11,33.9
2020-06-12,34.15
2020-06-15,34.4
2020-06-16,34.75
2020-06-17,34.77
2020-06-18,34.85
2020-06-19,35.04
2020-06-22,35.13
2020-06-23,35.09
2020-06-24,34.04
2020-06-25,34.53
2020-06-26,33.95
2020-06-29,34.56
2020-06-30,34.66
2020-07-01,34.52
2020-07-02,34.63
2020-07-06,35.66
2020-07-07,35.85
2020-07-08,35.88
2020-07-09,35.52
2020-07-10,35.83
2020-07-13,35.27
2020-07-14,35.82
2020-07-15,36.1
