date,close
2020-01-27,52.7
2020-01-28,52.93
2020-01-29,53.59
2020-01-30,54.35
2020-01-31,54.5
2020-02-03,52.06
2020-02-04,53.39
2020-02-05,55.54
2020-02-06,55.46
2020-02-07,54.69
2020-02-10,55.07
2020-02-11,56.76
2020-02-12,58.93
2020-02-13,59.5
2020-02-14,58.33
2020-02-18,56.47
2020-02-19,57.69
2020-02-20,60.26
2020-02-21,59.13
2020-02-24,55.87
2020-02-25,53.12
2020-02-26,52.27
2020-02-27,47.93
2020-02-28,47.42
2020-03-02,47.73
2020-03-03,45.17
2020-03-04,45.88
2020-03-05,41.21
2020-03-06,39.15
2020-03-09,33.82
2020-03-10,34.52
2020-03-11,31.36
2020-03-12,22.89
2020-03-13,24.92
2020-03-16,20.29
2020-03-17,20.3
2020-03-18,16.75
2020-03-19,16.72
2020-03-20,18.95
2020-03-23,16.62
2020-03-24,17.5
2020-03-25,21.11
2020-03-26,23.14
2020-03-27,23.15
2020-03-30,24.33
2020-03-31,23.62
2020-04-01,20.87
2020-04-02,21.22
2020-04-03,20.06
2020-04-06,23.09
2020-04-07,22.51
2020-04-08,24.31
2020-04-09,25.63
2020-04-13,25.33
2020-04-14,26.3
2020-04-15,23.98
2020-04-16,21.95
2020-04-17,25.45
2020-04-20,24.85
2020-04-21,23.72
2020-04-22,24.69
2020-04-23,25.94
2020-04-24,25.76
2020-04-27,26.45
2020-04-28,28.43
2020-04-29,33.04
2020-04-30,32.08
2020-05-01,29.24
2020-05-04,31.53
2020-05-05,31.14
2020-05-06,29.53
2020-05-07,30.78
2020-05-08,33.03
2020-05-11,32.7
2020-05-12,32.21
2020-05-13,31.05
2020-05-14,30.89
2020-05-15,30.3
2020-05-18,34.95
2020-05-19,34.5
2020-05-20,36.82
2020-05-21,35.69
2020-05-22,35.57
2020-05-26,36.83
2020-05-27,36.58
2020-05-28,35.18
2020-05-29,35.14
2020-06-01,36.5
2020-06-02,37.72
2020-06-03,38.59
2020-06-04,38.04
2020-06-05,41.56
2020-06-08,42.21
2020-06-09,40.41
2020-06-10,39.19
2020-06-11,35.33
2020-06-12,36.62
2020-06-15,37.84
2020-06-16,38.64
2020-06-17,37.13
2020-06-18,38.47
2020-06-19,38.19
2020-06-22,38.61
2020-06-23,38.8
2020-06-24,36.23
2020-06-25,36.69
2020-06-26,35.37
2020-06-29,35.4
2020-06-30,37.38
2020-07-01,35.68
2020-07-02,36.07
2020-07-06,36.36
2020-07-07,34.69
2020-07-08,34.15
2020-07-09,33.35
2020-07-10,36.2
2020-07-13,35.31
2020-07-14,36.2
2020-07-15,37.57
2020-07-16,37.39
2020-07-17,37.93
2020-07-20,36.75
2020-07-21,38.54
2020-07-22,38.73
2020-07-23,38.88
2020-07-24,38.7
2020-07-27,38.52
2020-07-28,38.12
2020-07-29,39.91
2020-07-30,38.08
2020-07-31,38.2
2020-08-03,38.57
2020-08-04,37.69
2020-08-05,36.43
2020-08-06,35.73
2020-08-07,36.67
2020-08-10,37.13
2020-08-11,36.95
2020-08-12,38.13
2020-08-13,37.26
2020-08-14,38.35
2020-08-17,38.65
2020-08-18,37.24
2020-08-19,37.18
2020-08-20,35.62
2020-08-21,35.4
2020-08-24,36.81
2020-08-25,36.45
2020-08-26,35.33
2020-08-27,34.98
2020-08-28,37.09
2020-08-31,35.46
2020-09-01,34.97
2020-09-02,35.01
2020-09-03,34.26
2020-09-04,33.64
2020-09-08,32.33
2020-09-09,31.77
2020-09-10,30.27
2020-09-11,31.25
2020-09-14,32.02
2020-09-15,31.09
2020-09-16,32.36
2020-09-17,32.12
2020-09-18,32.28
2020-09-21,31.25
2020-09-22,31.04
2020-09-23,28.73
2020-09-24,28.62
2020-09-25,28.63
2020-09-28,29.95
2020-09-29,29.43
2020-09-30,29.34
2020-10-01,27.71
2020-10-02,28.27
2020-10-05,29.24
2020-10-06,28.83
2020-10-07,29.21
2020-10-08,31.12
2020-10-09,30.12
2020-10-12,30.49
2020-10-13,29.38
2020-10-14,29.91
2020-10-15,30.54
2020-10-16,29.37
2020-10-19,28.25
2020-10-20,29.24
2020-10-21,28.82
2020-10-22,29.51
2020-10-23,29.89
2020-10-26,28.6
2020-10-27,28.19
2020-10-28,27.5
2020-10-29,28.83
2020-10-30,29.5
2020-11-02,31.3
2020-11-03,31.91
2020-11-04,31.7
2020-11-05,31.83
2020-11-06,31.58
2020-11-09,36.47
2020-11-10,37.64
2020-11-11,37.19
2020-11-12,34.7
2020-11-13,37.56
2020-11-16,40.73
2020-11-17,40.61
2020-11-18,38.54
2020-11-19,39.08
2020-11-20,38.26
2020-11-23,41.22
2020-11-24,42.45
2020-11-25,41.48
2020-11-27,41.42
2020-11-30,38.88
2020-12-01,39.45
2020-12-02,40.58
2020-12-03,40.99
2020-12-04,42.91
2020-12-07,42.21
2020-12-08,42.45
2020-12-09,42.64
2020-12-10,43.83
2020-12-11,42.91
2020-12-14,40.76
2020-12-15,42.25
2020-12-16,41.65
2020-12-17,40.58
2020-12-18,40.35
2020-12-21,39.75
2020-12-22,39.67
2020-12-23,41.31
2020-12-24,41.21
2020-12-28,40.78
2020-12-29,40.73
2020-12-30,41.57
