date,close
2020-01-27,82.1
2020-01-28,82.24
2020-01-29,83.18
2020-01-30,82.48
2020-01-31,81.47
2020-02-03,83.28
2020-02-04,84.25
2020-02-05,81.84
2020-02-06,81.7
2020-02-07,81.12
2020-02-10,81.68
2020-02-11,81.29
2020-02-12,79.38
2020-02-13,78.16
2020-02-14,78.81
2020-02-18,78.63
2020-02-19,78.19
2020-02-20,78.65
2020-02-21,78.51
2020-02-24,77.55
2020-02-25,76.54
2020-02-26,76.22
2020-02-27,74.45
2020-02-28,73.0
2020-03-02,77.59
2020-03-03,75.45
2020-03-04,79.11
2020-03-05,77.79
2020-03-06,78.38
2020-03-09,75.29
2020-03-10,78.21
2020-03-11,75.56
2020-03-12,70.99
2020-03-13,73.18
2020-03-16,66.67
2020-03-17,71.02
2020-03-18,68.3
2020-03-19,67.44
2020-03-20,68.04
2020-03-23,63.31
2020-03-24,65.84
2020-03-25,65.05
2020-03-26,70.11
2020-03-27,68.39
2020-03-30,73.37
2020-03-31,73.36
2020-04-01,70.37
2020-04-02,73.3
2020-04-03,72.7
2020-04-06,76.58
2020-04-07,74.91
2020-04-08,77.82
2020-04-09,78.65
2020-04-13,76.79
2020-04-14,78.99
2020-04-15,78.25
2020-04-16,79.14
2020-04-17,79.58
2020-04-20,79.24
2020-04-21,74.91
2020-04-22,76.26
2020-04-23,77.12
2020-04-24,77.64
2020-04-27,80.07
2020-04-28,77.41
2020-04-29,77.01
2020-04-30,75.65
2020-05-01,74.06
2020-05-04,73.29
2020-05-05,74.38
2020-05-06,73.53
2020-05-07,72.08
2020-05-08,72.85
2020-05-11,74.29
2020-05-12,73.6
2020-05-13,74.27
2020-05-14,76.33
2020-05-15,76.07
2020-05-18,76.01
2020-05-19,73.94
2020-05-20,73.31
2020-05-21,72.99
2020-05-22,72.82
2020-05-26,73.67
2020-05-27,73.94
2020-05-28,75.36
2020-05-29,76.97
2020-06-01,75.86
2020-06-02,77.08
2020-06-03,78.24
2020-06-04,77.76
2020-06-05,78.43
2020-06-08,79.05
2020-06-09,78.43
2020-06-10,77.97
2020-06-11,73.75
2020-06-12,72.75
2020-06-15,70.58
2020-06-16,73.39
2020-06-17,72.74
2020-06-18,72.68
2020-06-19,74.28
2020-06-22,73.18
2020-06-23,73.53
2020-06-24,72.34
2020-06-25,73.01
2020-06-26,71.69
2020-06-29,72.58
2020-06-30,73.73
2020-07-01,74.49
2020-07-02,75.12
2020-07-06,75.88
2020-07-07,75.06
2020-07-08,74.3
2020-07-09,73.12
2020-07-10,73.16
2020-07-13,73.75
2020-07-14,74.61
2020-07-15,75.75
2020-07-16,75.71
2020-07-17,76.16
2020-07-20,75.72
2020-07-21,75.22
2020-07-22,75.12
2020-07-23,74.43
2020-07-24,73.51
2020-07-27,75.26
2020-07-28,75.98
2020-07-29,75.66
2020-07-30,75.32
2020-07-31,76.51
2020-08-03,78.7
2020-08-04,77.87
2020-08-05,77.84
2020-08-06,77.28
2020-08-07,77.25
2020-08-10,77.15
2020-08-11,77.15
2020-08-12,78.84
2020-08-13,79.66
2020-08-14,79.6
2020-08-17,80.82
2020-08-18,80.63
2020-08-19,81.08
2020-08-20,81.08
2020-08-21,81.03
2020-08-24,81.45
2020-08-25,81.7
2020-08-26,81.56
2020-08-27,81.83
2020-08-28,81.67
2020-08-31,81.3
2020-09-01,80.5
2020-09-02,82.89
2020-09-03,81.51
2020-09-04,81.28
2020-09-08,79.46
2020-09-09,80.93
2020-09-10,79.68
2020-09-11,80.55
2020-09-14,80.25
2020-09-15,80.29
2020-09-16,81.59
2020-09-17,81.66
2020-09-18,81.82
2020-09-21,79.26
2020-09-22,79.08
2020-09-23,78.79
2020-09-24,79.28
2020-09-25,79.07
2020-09-28,78.91
2020-09-29,78.09
2020-09-30,79.09
2020-10-01,77.84
2020-10-02,77.04
2020-10-05,77.46
2020-10-06,75.93
2020-10-07,76.32
2020-10-08,76.74
2020-10-09,76.62
2020-10-12,76.62
2020-10-13,76.96
2020-10-14,76.77
2020-10-15,75.38
2020-10-16,76.12
2020-10-19,75.01
2020-10-20,74.63
2020-10-21,74.44
2020-10-22,75.53
2020-10-23,76.12
2020-10-26,75.17
2020-10-27,74.36
2020-10-28,72.64
2020-10-29,72.36
2020-10-30,71.71
2020-11-02,73.14
2020-11-03,73.34
2020-11-04,76.87
2020-11-05,76.72
2020-11-06,76.62
2020-11-09,76.76
2020-11-10,77.34
2020-11-11,77.29
2020-11-12,76.15
2020-11-13,77.32
2020-11-16,76.45
2020-11-17,77.71
2020-11-18,76.52
2020-11-19,76.65
2020-11-20,76.71
2020-11-23,76.55
2020-11-24,76.41
2020-11-25,76.34
2020-11-27,76.15
2020-11-30,76.65
2020-12-01,77.76
2020-12-02,78.02
2020-12-03,77.66
2020-12-04,78.13
2020-12-07,78.67
2020-12-08,79.31
2020-12-09,79.59
2020-12-10,79.13
2020-12-11,79.1
2020-12-14,76.59
2020-12-15,76.74
2020-12-16,76.12
2020-12-17,76.11
2020-12-18,75.83
2020-12-21,75.6
2020-12-22,75.73
2020-12-23,76.05
2020-12-24,76.41
2020-12-28,76.71
2020-12-29,77.63
2020-12-30,76.84
2020-12-31,78.0
2021-01-04,77.2
2021-01-05,77.33
2021-01-06,78.55
2021-01-07,80.11
2021-01-08,79.17
2021-01-11,81.05
2021-01-12,79.23
2021-01-13,78.51
2021-01-14,78.35
2021-01-15,79.5
2021-01-19,79.32
2021-01-20,78.63
2021-01-21,77.41
2021-01-22,77.21
2021-01-25,77.38
2021-01-26,76.52
2021-01-27,73.49
2021-01-28,74.3
2021-01-29,73.49
2021-02-01,73.76
2021-02-02,74.15
2021-02-03,73.72
2021-02-04,72.49
2021-02-05,72.28
2021-02-08,71.55
2021-02-09,71.55
2021-02-10,71.41
2021-02-11,71.26
2021-02-12,71.51
2021-02-16,70.8
2021-02-17,72.03
2021-02-18,71.9
2021-02-19,70.85
2021-02-22,71.45
2021-02-23,71.07
2021-02-24,71.1
2021-02-25,71.15
2021-02-26,69.24
2021-03-01,69.01
2021-03-02,69.46
2021-03-03,69.89
2021-03-04,68.81
2021-03-05,69.73
2021-03-08,70.72
2021-03-09,70.69
2021-03-10,71.28
2021-03-11,71.16
2021-03-12,71.13
2021-03-15,72.69
2021-03-16,73.24
2021-03-17,73.71
2021-03-18,73.68
2021-03-19,73.91
2021-03-22,73.91
2021-03-23,72.72
2021-03-24,72.69
2021-03-25,72.53
2021-03-26,73.79
2021-03-29,74.66
2021-03-30,73.38
2021-03-31,73.51
2021-04-01,73.51
2021-04-05,73.42
2021-04-06,72.27
2021-04-07,72.58
2021-04-08,71.98
2021-04-09,72.76
2021-04-12,72.68
2021-04-13,72.88
2021-04-14,72.85
2021-04-15,73.1
2021-04-16,73.87
2021-04-19,74.05
2021-04-20,74.92
2021-04-21,75.55
2021-04-22,74.33
2021-04-23,74.26
2021-04-26,73.92
2021-04-27,73.76
2021-04-28,73.51
2021-04-29,70.25
2021-04-30,71.04
2021-05-03,72.45
2021-05-04,72.46
2021-05-05,74.09
2021-05-06,74.16
2021-05-07,74.76
2021-05-10,74.54
2021-05-11,73.86
2021-05-12,74.37
2021-05-13,75.03
2021-05-14,74.65
2021-05-17,76.16
2021-05-18,75.69
2021-05-19,75.67
2021-05-20,75.96
2021-05-21,75.5
2021-05-24,75.36
2021-05-25,73.9
2021-05-26,73.64
2021-05-27,72.39
2021-05-28,72.36
2021-06-01,71.68
2021-06-02,72.34
2021-06-03,73.91
2021-06-04,74.11
2021-06-07,72.8
2021-06-08,72.4
2021-06-09,74.04
2021-06-10,76.14
2021-06-11,76.27
2021-06-14,75.45
2021-06-15,75.7
2021-06-16,76.61
2021-06-17,77.23
2021-06-18,76.61
2021-06-21,76.75
2021-06-22,76.19
2021-06-23,75.58
2021-06-24,76.36
2021-06-25,77.2
2021-06-28,76.86
2021-06-29,77.21
2021-06-30,77.77
2021-07-01,77.99
2021-07-02,78.6
2021-07-06,78.11
2021-07-07,78.56
2021-07-08,78.12
2021-07-09,77.99
2021-07-12,77.55
2021-07-13,77.61
2021-07-14,77.62
2021-07-15,77.9
2021-07-16,78.02
2021-07-19,77.05
2021-07-20,76.17
2021-07-21,76.39
2021-07-22,76.53
2021-07-23,77.54
2021-07-26,77.24
2021-07-27,77.85
2021-07-28,78.33
2021-07-29,76.93
2021-07-30,76.87
2021-08-02,76.18
2021-08-03,76.41
2021-08-04,75.48
2021-08-05,75.59
2021-08-06,75.44
2021-08-09,75.32
2021-08-10,75.19
2021-08-11,75.21
2021-08-12,76.04
2021-08-13,76.72
2021-08-16,77.93
2021-08-17,78.83
2021-08-18,77.79
2021-08-19,78.46
2021-08-20,78.68
2021-08-23,78.38
2021-08-24,77.72
2021-08-25,77.07
2021-08-26,76.57
2021-08-27,76.3
2021-08-30,76.5
2021-08-31,76.29
2021-09-01,76.18
2021-09-02,77.12
2021-09-03,77.26
2021-09-07,75.98
2021-09-08,75.36
2021-09-09,73.82
2021-09-10,73.45
2021-09-13,73.18
2021-09-14,72.11
2021-09-15,72.81
2021-09-16,71.97
2021-09-17,71.68
2021-09-20,71.93
2021-09-21,71.97
2021-09-22,72.04
2021-09-23,73.05
2021-09-24,73.61
2021-09-27,73.36
2021-09-28,73.32
2021-09-29,75.09
2021-09-30,75.11
2021-10-01,81.4
2021-10-04,83.1
2021-10-05,81.6
2021-10-06,80.66
2021-10-07,81.94
2021-10-08,80.63
2021-10-11,79.93
2021-10-12,79.59
2021-10-13,78.95
2021-10-14,78.33
2021-10-15,78.33
2021-10-18,77.15
2021-10-19,79.49
2021-10-20,81.07
2021-10-21,81.17
2021-10-22,81.15
2021-10-25,81.66
2021-10-26,82.25
2021-10-27,81.54
2021-10-28,86.55
2021-10-29,88.05
2021-11-01,87.84
2021-11-02,89.02
2021-11-03,88.68
2021-11-04,90.54
2021-11-05,81.61
2021-11-08,82.68
2021-11-09,82.72
2021-11-10,84.01
2021-11-11,84.02
2021-11-12,84.0
2021-11-15,83.69
2021-11-16,84.11
2021-11-17,82.6
2021-11-18,83.05
2021-11-19,80.7
2021-11-22,81.64
2021-11-23,82.8
2021-11-24,82.28
2021-11-26,79.16
2021-11-29,74.89
2021-11-30,74.91
2021-12-01,74.44
2021-12-02,73.89
2021-12-03,73.34
2021-12-06,73.42
2021-12-07,72.28
2021-12-08,73.21
2021-12-09,72.86
2021-12-10,72.62
2021-12-13,73.42
2021-12-14,73.72
2021-12-15,75.29
2021-12-16,75.91
2021-12-17,75.69
2021-12-20,76.41
2021-12-21,75.54
2021-12-22,76.16
2021-12-23,75.73
2021-12-27,76.57
2021-12-28,76.81
2021-12-29,76.95
