date,close
2020-01-27,66.69
2020-01-28,66.45
2020-01-29,66.44
2020-01-30,67.48
2020-01-31,67.05
2020-02-03,66.7
2020-02-04,66.14
2020-02-05,66.68
2020-02-06,67.08
2020-02-07,67.39
2020-02-10,67.94
2020-02-11,68.04
2020-02-12,67.57
2020-02-13,68.87
2020-02-14,69.63
2020-02-18,70.51
2020-02-19,68.67
2020-02-20,69.26
2020-02-21,69.4
2020-02-24,68.49
2020-02-25,67.58
2020-02-26,67.37
2020-02-27,63.96
2020-02-28,63.19
2020-03-02,67.09
2020-03-03,66.29
2020-03-04,70.56
2020-03-05,69.04
2020-03-06,67.96
2020-03-09,65.32
2020-03-10,63.93
2020-03-11,60.32
2020-03-12,52.22
2020-03-13,55.39
2020-03-16,50.34
2020-03-17,55.44
2020-03-18,52.66
2020-03-19,51.77
2020-03-20,47.94
2020-03-23,45.42
2020-03-24,51.63
2020-03-25,52.57
2020-03-26,57.77
2020-03-27,57.99
2020-03-30,61.5
2020-03-31,60.16
2020-04-01,54.56
2020-04-02,56.61
2020-04-03,55.41
2020-04-06,58.63
2020-04-07,57.12
2020-04-08,58.38
2020-04-09,61.32
2020-04-13,59.05
2020-04-14,60.6
2020-04-15,59.31
2020-04-16,59.37
2020-04-17,61.57
2020-04-20,59.4
2020-04-21,58.85
2020-04-22,61.79
2020-04-23,60.29
2020-04-24,59.93
2020-04-27,60.9
2020-04-28,59.83
2020-04-29,58.78
2020-04-30,57.78
2020-05-01,56.76
2020-05-04,57.52
2020-05-05,57.52
2020-05-06,55.67
2020-05-07,56.12
2020-05-08,57.43
2020-05-11,56.85
2020-05-12,56.98
2020-05-13,57.53
2020-05-14,58.06
2020-05-15,56.96
2020-05-18,58.86
2020-05-19,57.63
2020-05-20,58.2
2020-05-21,57.23
2020-05-22,58.46
2020-05-26,58.58
2020-05-27,60.28
2020-05-28,62.84
2020-05-29,63.89
2020-06-01,63.91
2020-06-02,64.15
2020-06-03,64.89
2020-06-04,62.97
2020-06-05,63.6
2020-06-08,65.12
2020-06-09,64.67
2020-06-10,64.2
2020-06-11,62.08
2020-06-12,61.73
2020-06-15,62.14
2020-06-16,62.04
2020-06-17,62.25
2020-06-18,62.23
2020-06-19,60.55
2020-06-22,61.76
2020-06-23,60.8
2020-06-24,60.42
2020-06-25,59.79
2020-06-26,59.06
2020-06-29,59.56
2020-06-30,60.04
2020-07-01,61.57
2020-07-02,61.6
2020-07-06,61.74
2020-07-07,61.68
2020-07-08,63.32
2020-07-09,63.0
2020-07-10,64.9
2020-07-13,64.06
2020-07-14,65.64
2020-07-15,64.75
2020-07-16,67.1
2020-07-17,68.85
2020-07-20,68.58
2020-07-21,69.08
2020-07-22,70.11
2020-07-23,70.24
