date,close
2020-01-27,44.56
2020-01-28,44.3
2020-01-29,44.62
2020-01-30,44.97
2020-01-31,45.06
2020-02-03,45.59
2020-02-04,44.23
2020-02-05,44.3
2020-02-06,44.39
2020-02-07,44.02
2020-02-10,44.42
2020-02-11,44.22
2020-02-12,43.89
2020-02-13,44.01
2020-02-14,44.07
2020-02-18,45.58
2020-02-19,46.17
2020-02-20,48.1
2020-02-21,49.44
2020-02-24,50.26
2020-02-25,49.14
2020-02-26,49.4
2020-02-27,46.53
2020-02-28,44.63
2020-03-02,46.83
2020-03-03,49.73
2020-03-04,51.0
2020-03-05,52.08
2020-03-06,52.35
2020-03-09,47.78
2020-03-10,48.38
2020-03-11,46.02
2020-03-12,44.44
2020-03-13,39.5
2020-03-16,40.73
2020-03-17,45.8
2020-03-18,41.57
2020-03-19,41.74
2020-03-20,40.56
2020-03-23,41.66
2020-03-24,47.5
2020-03-25,47.54
2020-03-26,48.28
2020-03-27,46.35
2020-03-30,46.36
2020-03-31,45.28
2020-04-01,46.47
2020-04-02,48.23
2020-04-03,47.15
2020-04-06,50.11
2020-04-07,49.96
2020-04-08,50.53
2020-04-09,57.31
2020-04-13,59.77
2020-04-14,59.89
2020-04-15,58.22
2020-04-16,59.9
2020-04-17,59.23
2020-04-20,59.54
2020-04-21,59.27
2020-04-22,61.73
2020-04-23,62.44
2020-04-24,63.11
2020-04-27,62.61
2020-04-28,62.67
2020-04-29,62.35
2020-04-30,59.48
2020-05-01,60.99
2020-05-04,62.74
2020-05-05,64.91
2020-05-06,62.43
2020-05-07,64.56
2020-05-08,64.55
2020-05-11,62.95
2020-05-12,62.48
2020-05-13,63.89
2020-05-14,66.64
2020-05-15,67.9
2020-05-18,66.26
2020-05-19,67.38
2020-05-20,65.72
2020-05-21,63.48
2020-05-22,63.05
2020-05-26,59.21
2020-05-27,58.73
2020-05-28,58.72
2020-05-29,58.47
2020-06-01,60.49
2020-06-02,58.47
2020-06-03,56.02
2020-06-04,55.9
2020-06-05,54.76
2020-06-08,55.54
2020-06-09,57.17
2020-06-10,58.73
2020-06-11,56.04
2020-06-12,55.45
2020-06-15,56.85
2020-06-16,55.95
2020-06-17,55.58
2020-06-18,55.53
2020-06-19,56.92
2020-06-22,58.22
2020-06-23,58.91
2020-06-24,58.41
2020-06-25,58.59
2020-06-26,59.34
2020-06-29,59.54
2020-06-30,61.74
2020-07-01,61.36
2020-07-02,60.96
2020-07-06,61.18
2020-07-07,62.47
2020-07-08,63.43
2020-07-09,62.73
2020-07-10,61.88
2020-07-13,59.54
2020-07-14,61.77
2020-07-15,62.14
2020-07-16,61.55
2020-07-17,62.92
2020-07-20,64.19
2020-07-21,64.29
2020-07-22,65.47
2020-07-23,65.77
2020-07-24,66.75
2020-07-27,69.04
2020-07-28,68.59
2020-07-29,67.89
2020-07-30,65.66
2020-07-31,69.2
2020-08-03,68.15
2020-08-04,70.25
2020-08-05,70.37
2020-08-06,70.11
2020-08-07,68.91
2020-08-10,67.89
2020-08-11,62.87
2020-08-12,62.99
2020-08-13,64.11
2020-08-14,63.85
2020-08-17,68.35
2020-08-18,67.7
2020-08-19,65.98
2020-08-20,67.23
2020-08-21,65.57
2020-08-24,65.2
2020-08-25,64.86
2020-08-26,65.67
2020-08-27,64.76
2020-08-28,66.71
2020-08-31,67.28
2020-09-01,67.02
2020-09-02,67.53
2020-09-03,66.13
2020-09-04,65.35
2020-09-08,65.77
2020-09-09,68.17
2020-09-10,66.49
2020-09-11,66.22
2020-09-14,67.38
2020-09-15,67.55
2020-09-16,67.29
2020-09-17,66.32
2020-09-18,64.71
2020-09-21,63.67
2020-09-22,63.45
2020-09-23,60.22
2020-09-24,61.44
2020-09-25,61.42
2020-09-28,62.13
2020-09-29,62.77
2020-09-30,63.45
2020-10-01,62.83
2020-10-02,62.29
2020-10-05,63.13
2020-10-06,60.82
2020-10-07,61.17
2020-10-08,61.72
2020-10-09,62.82
2020-10-12,62.93
2020-10-13,62.76
2020-10-14,64.0
2020-10-15,63.0
2020-10-16,62.67
2020-10-19,61.71
2020-10-20,61.19
2020-10-21,61.48
2020-10-22,60.54
2020-10-23,60.47
2020-10-26,60.32
2020-10-27,61.65
2020-10-28,58.65
2020-10-29,60.34
2020-10-30,62.84
2020-11-02,64.73
2020-11-03,66.67
2020-11-04,65.08
2020-11-05,67.85
2020-11-06,68.14
2020-11-09,66.01
2020-11-10,64.89
2020-11-11,65.63
2020-11-12,65.02
2020-11-13,65.71
2020-11-16,65.67
2020-11-17,64.53
2020-11-18,61.56
2020-11-19,61.41
2020-11-20,61.65
2020-11-23,58.68
2020-11-24,56.87
2020-11-25,57.78
2020-11-27,58.48
2020-11-30,58.82
2020-12-01,60.21
2020-12-02,59.96
2020-12-03,59.51
2020-12-04,59.44
2020-12-07,61.44
2020-12-08,61.51
2020-12-09,59.98
2020-12-10,59.18
2020-12-11,58.87
2020-12-14,57.56
2020-12-15,59.04
2020-12-16,60.24
2020-12-17,61.64
2020-12-18,60.5
2020-12-21,60.72
2020-12-22,59.41
2020-12-23,59.78
2020-12-24,60.48
2020-12-28,59.82
2020-12-29,59.73
2020-12-30,60.39
2020-12-31,59.89
2021-01-04,63.15
2021-01-05,63.43
2021-01-06,65.24
2021-01-07,65.14
2021-01-08,62.79
2021-01-11,61.95
2021-01-12,62.49
2021-01-13,62.07
2021-01-14,63.33
2021-01-15,61.86
2021-01-19,61.85
2021-01-20,63.52
2021-01-21,62.31
2021-01-22,61.75
2021-01-25,61.64
2021-01-26,61.48
2021-01-27,58.89
2021-01-28,59.73
2021-01-29,59.6
2021-02-01,59.88
2021-02-02,59.63
2021-02-03,58.91
2021-02-04,57.66
2021-02-05,59.3
2021-02-08,60.42
2021-02-09,60.01
2021-02-10,59.7
2021-02-11,58.38
2021-02-12,58.94
2021-02-16,57.8
2021-02-17,56.99
2021-02-18,57.36
2021-02-19,56.67
2021-02-22,57.49
2021-02-23,56.84
2021-02-24,57.08
2021-02-25,56.12
2021-02-26,54.38
2021-03-01,54.65
2021-03-02,56.8
2021-03-03,55.33
2021-03-04,55.42
2021-03-05,56.74
2021-03-08,56.39
2021-03-09,57.25
