date,close
2020-01-27,28.89
2020-01-28,29.12
2020-01-29,29.19
2020-01-30,29.1
2020-01-31,29.31
2020-02-03,29.79
2020-02-04,29.48
2020-02-05,29.77
2020-02-06,29.85
2020-02-07,29.8
2020-02-10,29.86
2020-02-11,29.93
2020-02-12,29.83
2020-02-13,30.19
2020-02-14,30.21
2020-02-18,30.21
2020-02-19,30.02
2020-02-20,30.05
2020-02-21,29.88
2020-02-24,29.25
2020-02-25,28.38
2020-02-26,27.75
2020-02-27,27.3
2020-02-28,27.02
2020-03-02,28.56
2020-03-03,28.38
2020-03-04,29.86
2020-03-05,29.63
2020-03-06,29.46
2020-03-09,27.69
2020-03-10,28.52
2020-03-11,27.1
2020-03-12,24.02
2020-03-13,25.18
2020-03-16,20.94
2020-03-17,24.57
2020-03-18,23.6
2020-03-19,23.36
2020-03-20,21.0
2020-03-23,20.86
2020-03-24,21.94
2020-03-25,22.83
2020-03-26,24.55
2020-03-27,24.76
2020-03-30,26.08
2020-03-31,24.97
2020-04-01,23.06
2020-04-02,23.49
2020-04-03,22.49
2020-04-06,24.55
2020-04-07,24.11
2020-04-08,25.47
2020-04-09,26.58
2020-04-13,25.71
2020-04-14,26.62
2020-04-15,25.45
2020-04-16,25.93
2020-04-17,26.38
2020-04-20,25.48
2020-04-21,25.38
2020-04-22,26.01
2020-04-23,25.85
2020-04-24,26.03
2020-04-27,26.25
2020-04-28,26.85
2020-04-29,25.93
2020-04-30,25.11
2020-05-01,24.47
2020-05-04,24.4
2020-05-05,24.53
2020-05-06,22.92
2020-05-07,22.9
2020-05-08,23.27
2020-05-11,23.49
2020-05-12,22.77
2020-05-13,22.41
2020-05-14,22.49
2020-05-15,22.37
2020-05-18,23.17
2020-05-19,23.05
2020-05-20,23.08
2020-05-21,22.99
2020-05-22,23.09
2020-05-26,23.39
2020-05-27,23.32
2020-05-28,24.02
2020-05-29,23.83
2020-06-01,24.21
2020-06-02,24.72
2020-06-03,25.32
2020-06-04,24.62
2020-06-05,25.08
2020-06-08,25.61
2020-06-09,24.83
2020-06-10,24.41
2020-06-11,23.12
2020-06-12,23.26
2020-06-15,23.48
2020-06-16,23.64
2020-06-17,23.55
2020-06-18,23.73
2020-06-19,22.97
2020-06-22,23.23
2020-06-23,22.85
2020-06-24,22.4
2020-06-25,22.33
2020-06-26,22.35
2020-06-29,22.69
2020-06-30,22.74
2020-07-01,23.46
2020-07-02,23.36
2020-07-06,23.29
2020-07-07,23.33
2020-07-08,23.38
2020-07-09,22.95
2020-07-10,23.57
2020-07-13,24.02
2020-07-14,23.75
2020-07-15,23.72
2020-07-16,23.85
2020-07-17,24.34
2020-07-20,23.75
2020-07-21,23.81
2020-07-22,24.64
2020-07-23,24.74
2020-07-24,24.54
2020-07-27,24.28
2020-07-28,24.67
2020-07-29,24.76
2020-07-30,24.49
2020-07-31,24.45
2020-08-03,23.98
2020-08-04,24.15
2020-08-05,24.36
2020-08-06,24.34
2020-08-07,24.75
2020-08-10,24.81
2020-08-11,24.29
2020-08-12,24.75
2020-08-13,24.35
2020-08-14,24.12
2020-08-17,23.96
2020-08-18,23.58
2020-08-19,23.44
2020-08-20,22.97
2020-08-21,22.72
2020-08-24,23.03
2020-08-25,22.74
2020-08-26,22.19
2020-08-27,22.18
2020-08-28,22.35
2020-08-31,22.16
2020-09-01,21.39
2020-09-02,22.27
2020-09-03,22.42
2020-09-04,22.28
2020-09-08,21.97
2020-09-09,22.11
2020-09-10,21.88
2020-09-11,22.04
2020-09-14,22.38
2020-09-15,22.11
2020-09-16,22.26
2020-09-17,22.42
2020-09-18,21.98
2020-09-21,22.2
2020-09-22,22.08
2020-09-23,21.61
2020-09-24,21.65
2020-09-25,22.14
2020-09-28,21.85
2020-09-29,21.96
2020-09-30,22.0
2020-10-01,22.0
2020-10-02,22.14
2020-10-05,21.99
2020-10-06,22.41
2020-10-07,22.05
2020-10-08,22.36
2020-10-09,22.49
2020-10-12,23.08
2020-10-13,23.11
2020-10-14,23.3
2020-10-15,23.39
2020-10-16,23.5
2020-10-19,23.47
2020-10-20,23.6
2020-10-21,23.58
2020-10-22,24.04
2020-10-23,24.31
2020-10-26,24.25
2020-10-27,24.26
2020-10-28,23.18
2020-10-29,22.96
2020-10-30,22.97
2020-11-02,23.45
2020-11-03,24.03
2020-11-04,23.65
2020-11-05,23.65
2020-11-06,23.22
2020-11-09,24.11
2020-11-10,25.07
2020-11-11,24.64
2020-11-12,23.87
2020-11-13,24.47
2020-11-16,24.62
2020-11-17,24.75
2020-11-18,23.96
2020-11-19,23.6
2020-11-20,23.9
2020-11-23,24.31
2020-11-24,24.94
2020-11-25,24.9
2020-11-27,24.51
2020-11-30,24.2
2020-12-01,24.49
2020-12-02,24.62
2020-12-03,24.36
2020-12-04,24.0
2020-12-07,23.92
2020-12-08,23.21
2020-12-09,23.2
2020-12-10,22.57
2020-12-11,22.89
2020-12-14,22.65
2020-12-15,23.2
2020-12-16,22.8
2020-12-17,22.81
2020-12-18,22.4
2020-12-21,21.53
2020-12-22,21.71
2020-12-23,21.91
2020-12-24,22.09
2020-12-28,22.3
2020-12-29,22.34
2020-12-30,22.55
2020-12-31,22.94
2021-01-04,22.58
2021-01-05,22.52
2021-01-06,23.02
2021-01-07,22.13
2021-01-08,21.81
2021-01-11,21.88
2021-01-12,21.87
2021-01-13,22.01
2021-01-14,21.86
2021-01-15,22.93
2021-01-19,22.46
2021-01-20,22.38
2021-01-21,21.92
2021-01-22,21.93
2021-01-25,22.11
2021-01-26,21.71
2021-01-27,21.26
