date,close
2020-01-27,61.53
2020-01-28,62.81
2020-01-29,62.59
2020-01-30,68.32
2020-01-31,67.65
2020-02-03,68.64
2020-02-04,70.41
2020-02-05,67.7
2020-02-06,68.34
2020-02-07,68.21
2020-02-10,68.55
2020-02-11,68.71
2020-02-12,69.96
2020-02-13,70.36
2020-02-14,71.23
2020-02-18,71.5
2020-02-19,71.54
2020-02-20,70.59
2020-02-21,68.9
2020-02-24,66.71
2020-02-25,65.94
2020-02-26,66.85
2020-02-27,64.02
2020-02-28,65.22
2020-03-02,68.88
2020-03-03,65.93
2020-03-04,69.01
2020-03-05,65.87
2020-03-06,63.45
2020-03-09,58.42
2020-03-10,62.56
2020-03-11,58.13
2020-03-12,52.42
2020-03-13,57.53
2020-03-16,53.09
2020-03-17,57.48
2020-03-18,55.63
2020-03-19,55.53
2020-03-20,50.94
2020-03-23,51.06
2020-03-24,54.4
2020-03-25,52.93
2020-03-26,58.95
2020-03-27,54.8
2020-03-30,57.28
2020-03-31,57.32
2020-04-01,54.61
2020-04-02,51.8
2020-04-03,49.91
2020-04-06,53.99
2020-04-07,52.47
2020-04-08,54.81
2020-04-09,55.61
2020-04-13,56.71
2020-04-14,60.42
2020-04-15,59.18
2020-04-16,58.39
2020-04-17,59.92
2020-04-20,60.49
2020-04-21,57.75
2020-04-22,59.92
2020-04-23,59.46
2020-04-24,60.59
2020-04-27,61.72
2020-04-28,59.2
2020-04-29,64.4
2020-04-30,70.31
2020-05-01,67.9
2020-05-04,70.93
2020-05-05,74.13
2020-05-06,73.08
2020-05-07,76.37
2020-05-08,75.45
2020-05-11,76.73
2020-05-12,73.12
2020-05-13,72.26
2020-05-14,73.57
2020-05-15,74.09
2020-05-18,74.97
2020-05-19,76.58
2020-05-20,78.03
2020-05-21,76.73
2020-05-22,77.59
2020-05-26,76.13
2020-05-27,74.23
2020-05-28,75.6
2020-05-29,77.59
2020-06-01,76.67
2020-06-02,78.58
2020-06-03,77.62
2020-06-04,75.39
2020-06-05,78.09
2020-06-08,77.33
2020-06-09,77.77
2020-06-10,80.33
2020-06-11,75.01
2020-06-12,77.03
2020-06-15,78.5
2020-06-16,79.69
2020-06-17,80.13
2020-06-18,80.21
2020-06-19,79.97
2020-06-22,80.56
2020-06-23,80.19
2020-06-24,78.59
2020-06-25,80.33
2020-06-26,79.99
2020-06-29,78.91
2020-06-30,81.01
2020-07-01,83.36
2020-07-02,82.84
2020-07-06,83.29
2020-07-07,82.35
2020-07-08,85.04
2020-07-09,85.27
2020-07-10,84.58
2020-07-13,80.37
2020-07-14,82.65
2020-07-15,84.71
2020-07-16,82.78
2020-07-17,84.36
2020-07-20,89.85
2020-07-21,87.44
2020-07-22,88.32
2020-07-23,86.17
2020-07-24,85.04
2020-07-27,86.76
2020-07-28,87.01
2020-07-29,89.14
2020-07-30,86.28
2020-07-31,87.84
2020-08-03,87.99
2020-08-04,87.63
2020-08-05,87.15
2020-08-06,86.07
2020-08-07,86.24
2020-08-10,87.74
2020-08-11,84.27
2020-08-12,85.43
2020-08-13,87.68
2020-08-14,87.15
2020-08-17,88.47
2020-08-18,87.52
2020-08-19,87.43
2020-08-20,90.67
2020-08-21,89.88
2020-08-24,89.62
2020-08-25,91.59
2020-08-26,97.54
2020-08-27,96.11
2020-08-28,97.57
2020-08-31,96.4
2020-09-01,99.44
2020-09-02,99.94
2020-09-03,93.77
2020-09-04,90.07
2020-09-08,88.63
2020-09-09,91.64
2020-09-10,90.6
2020-09-11,89.18
2020-09-14,91.61
2020-09-15,94.79
2020-09-16,91.2
2020-09-17,90.76
2020-09-18,90.62
2020-09-21,92.38
2020-09-22,94.11
2020-09-23,92.09
2020-09-24,92.02
2020-09-25,95.99
2020-09-28,96.84
2020-09-29,97.6
2020-09-30,97.0
2020-10-01,98.5
2020-10-02,98.63
2020-10-05,100.36
2020-10-06,98.31
2020-10-07,100.0
2020-10-08,99.3
2020-10-09,101.72
2020-10-12,101.82
2020-10-13,103.66
2020-10-14,103.38
2020-10-15,104.14
2020-10-16,104.97
2020-10-19,104.39
2020-10-20,103.64
2020-10-21,102.06
2020-10-22,101.19
2020-10-23,102.8
2020-10-26,100.32
2020-10-27,99.96
2020-10-28,96.81
2020-10-29,102.12
2020-10-30,99.51
2020-11-02,95.2
2020-11-03,96.01
2020-11-04,102.72
2020-11-05,106.22
2020-11-06,107.04
2020-11-09,100.39
2020-11-10,96.26
2020-11-11,100.67
2020-11-12,101.96
2020-11-13,101.6
2020-11-16,100.46
2020-11-17,102.62
2020-11-18,101.42
2020-11-19,102.87
2020-11-20,103.61
2020-11-23,104.42
2020-11-24,102.94
2020-11-25,103.84
2020-11-27,105.5
2020-11-30,106.91
2020-12-01,107.92
2020-12-02,105.3
2020-12-03,105.05
2020-12-04,105.14
2020-12-07,106.65
2020-12-08,108.45
2020-12-09,105.6
2020-12-10,107.6
2020-12-11,107.47
2020-12-14,106.5
2020-12-15,105.48
2020-12-16,109.0
2020-12-17,110.81
2020-12-18,113.09
2020-12-21,110.16
2020-12-22,112.34
2020-12-23,110.01
2020-12-24,110.78
2020-12-28,108.75
2020-12-29,109.2
2020-12-30,109.48
2020-12-31,110.09
2021-01-04,105.37
2021-01-05,106.39
2021-01-06,101.45
2021-01-07,102.28
2021-01-08,105.93
2021-01-11,104.61
2021-01-12,102.64
2021-01-13,104.34
2021-01-14,102.87
2021-01-15,102.75
2021-01-19,103.88
2021-01-20,108.44
2021-01-21,108.87
2021-01-22,108.22
2021-01-25,107.58
2021-01-26,106.49
2021-01-27,103.3
2021-01-28,110.85
2021-01-29,108.63
2021-02-01,111.71
2021-02-02,116.7
2021-02-03,115.33
2021-02-04,117.8
2021-02-05,117.95
2021-02-08,117.58
2021-02-09,116.36
2021-02-10,117.87
2021-02-11,118.89
2021-02-12,118.26
2021-02-16,117.15
2021-02-17,116.19
2021-02-18,115.16
2021-02-19,114.15
2021-02-22,110.05
2021-02-23,110.35
2021-02-24,110.37
2021-02-25,105.76
2021-02-26,106.69
2021-03-01,111.29
2021-03-02,109.86
2021-03-03,103.2
2021-03-04,98.13
2021-03-05,97.39
2021-03-08,92.81
2021-03-09,97.79
2021-03-10,94.8
2021-03-11,100.57
2021-03-12,97.84
2021-03-15,99.35
2021-03-16,99.8
2021-03-17,97.0
2021-03-18,93.24
2021-03-19,94.17
2021-03-22,95.33
2021-03-23,95.63
2021-03-24,94.46
2021-03-25,94.44
2021-03-26,99.0
2021-03-29,97.08
2021-03-30,97.51
2021-03-31,100.02
2021-04-01,101.4
2021-04-05,102.8
2021-04-06,101.82
2021-04-07,102.15
2021-04-08,104.81
2021-04-09,106.0
2021-04-12,107.4
2021-04-13,109.79
2021-04-14,108.97
2021-04-15,111.87
2021-04-16,111.38
2021-04-19,109.87
2021-04-20,108.16
2021-04-21,109.29
2021-04-22,109.7
2021-04-23,110.54
2021-04-26,111.84
2021-04-27,112.53
2021-04-28,111.45
2021-04-29,101.0
2021-04-30,101.27
2021-05-03,98.06
2021-05-04,96.66
2021-05-05,95.99
2021-05-06,97.17
2021-05-07,96.7
2021-05-10,93.36
2021-05-11,96.3
2021-05-12,92.94
2021-05-13,91.0
2021-05-14,92.07
2021-05-17,90.88
2021-05-18,91.44
2021-05-19,91.95
2021-05-20,94.23
2021-05-21,93.89
2021-05-24,95.27
2021-05-25,95.98
2021-05-26,97.08
2021-05-27,95.84
2021-05-28,94.78
2021-06-01,93.83
2021-06-02,93.4
2021-06-03,91.84
2021-06-04,92.13
2021-06-07,91.89
2021-06-08,92.15
2021-06-09,92.94
2021-06-10,97.83
2021-06-11,99.6
2021-06-14,101.87
2021-06-15,101.09
2021-06-16,102.02
2021-06-17,106.08
2021-06-18,106.75
2021-06-21,106.95
2021-06-22,109.21
2021-06-23,110.04
2021-06-24,110.41
2021-06-25,109.0
2021-06-28,110.43
2021-06-29,111.72
2021-06-30,109.91
2021-07-01,109.03
2021-07-02,110.37
2021-07-06,111.7
2021-07-07,112.36
2021-07-08,112.09
2021-07-09,113.27
2021-07-12,112.39
2021-07-13,111.87
2021-07-14,112.59
2021-07-15,111.66
2021-07-16,111.27
2021-07-19,111.02
2021-07-20,113.05
2021-07-21,113.43
2021-07-22,115.34
2021-07-23,117.24
2021-07-26,116.84
2021-07-27,116.46
2021-07-28,116.67
2021-07-29,117.29
2021-07-30,117.58
2021-08-02,116.93
2021-08-03,116.93
2021-08-04,118.69
2021-08-05,119.1
2021-08-06,118.14
2021-08-09,117.59
2021-08-10,115.16
2021-08-11,114.04
2021-08-12,116.31
2021-08-13,117.57
2021-08-16,116.04
2021-08-17,116.45
2021-08-18,116.39
2021-08-19,117.38
2021-08-20,120.1
2021-08-23,123.89
2021-08-24,124.37
2021-08-25,124.21
2021-08-26,124.81
2021-08-27,126.48
2021-08-30,128.33
2021-08-31,128.73
2021-09-01,130.17
2021-09-02,132.06
2021-09-03,135.73
2021-09-07,132.22
2021-09-08,130.76
2021-09-09,130.04
2021-09-10,129.6
2021-09-13,127.82
2021-09-14,129.08
2021-09-15,130.43
2021-09-16,131.27
2021-09-17,130.21
2021-09-20,129.75
2021-09-21,130.84
2021-09-22,132.53
2021-09-23,132.84
2021-09-24,133.26
2021-09-27,129.91
2021-09-28,122.5
2021-09-29,123.6
2021-09-30,124.45
2021-10-01,126.56
2021-10-04,123.59
2021-10-05,126.68
2021-10-06,125.87
2021-10-07,127.58
2021-10-08,123.52
2021-10-11,123.17
2021-10-12,125.83
2021-10-13,127.88
2021-10-14,130.61
2021-10-15,132.64
2021-10-18,133.24
2021-10-19,136.05
2021-10-20,136.22
2021-10-21,137.27
2021-10-22,137.33
2021-10-25,137.77
2021-10-26,135.34
2021-10-27,132.95
2021-10-28,137.54
2021-10-29,139.55
2021-11-01,136.4
2021-11-02,137.32
2021-11-03,137.53
2021-11-04,140.35
2021-11-05,138.4
2021-11-08,138.46
2021-11-09,138.25
2021-11-10,134.18
2021-11-11,135.85
2021-11-12,138.28
2021-11-15,136.51
2021-11-16,138.51
2021-11-17,136.99
2021-11-18,135.17
2021-11-19,135.19
2021-11-22,131.28
2021-11-23,127.38
2021-11-24,129.86
2021-11-26,129.91
2021-11-29,134.56
2021-11-30,129.54
2021-12-01,119.91
2021-12-02,124.67
2021-12-03,122.62
2021-12-06,123.31
2021-12-07,132.68
2021-12-08,133.16
2021-12-09,128.43
2021-12-10,129.4
2021-12-13,131.19
2021-12-14,124.94
2021-12-15,129.41
2021-12-16,121.8
2021-12-17,123.13
2021-12-20,121.07
