date,close
2020-01-27,202.66
2020-01-28,204.76
2020-01-29,214.83
2020-01-30,214.5
2020-01-31,208.21
2020-02-03,206.99
2020-02-04,211.87
2020-02-05,213.8
2020-02-06,212.68
2020-02-07,210.18
2020-02-10,209.25
2020-02-11,209.17
2020-02-12,210.92
2020-02-13,210.49
2020-02-14,209.35
2020-02-18,208.02
2020-02-19,209.17
2020-02-20,210.81
2020-02-21,208.05
2020-02-24,203.0
2020-02-25,194.85
2020-02-26,190.07
2020-02-27,184.28
2020-02-28,182.35
2020-03-02,182.59
2020-03-03,176.86
2020-03-04,184.24
2020-03-05,175.35
2020-03-06,174.6
2020-03-09,154.5
2020-03-10,160.51
2020-03-11,151.36
2020-03-12,133.5
2020-03-13,146.86
2020-03-16,126.44
2020-03-17,139.59
2020-03-18,130.84
2020-03-19,136.33
2020-03-20,123.71
2020-03-23,118.88
2020-03-24,140.23
2020-03-25,140.4
2020-03-26,146.92
2020-03-27,143.36
2020-03-30,148.29
2020-03-31,146.0
2020-04-01,140.01
2020-04-02,143.72
2020-04-03,142.32
2020-04-06,154.75
2020-04-07,153.53
2020-04-08,158.97
2020-04-09,159.3
2020-04-13,154.29
2020-04-14,155.49
2020-04-15,153.85
2020-04-16,153.25
2020-04-17,160.67
2020-04-20,153.7
2020-04-21,150.0
2020-04-22,153.78
2020-04-23,155.86
2020-04-24,160.68
2020-04-27,166.87
2020-04-28,170.64
2020-04-29,180.33
2020-04-30,171.1
2020-05-01,170.73
2020-05-04,168.01
2020-05-05,171.36
2020-05-06,168.19
2020-05-07,169.58
2020-05-08,174.75
2020-05-11,174.06
2020-05-12,166.79
2020-05-13,164.54
2020-05-14,166.59
2020-05-15,160.36
2020-05-18,170.73
2020-05-19,167.66
2020-05-20,173.66
2020-05-21,170.56
2020-05-22,171.47
2020-05-26,179.72
2020-05-27,184.98
2020-05-28,180.26
2020-05-29,178.29
2020-06-01,178.34
2020-06-02,184.06
2020-06-03,192.42
2020-06-04,191.5
2020-06-05,194.25
2020-06-08,191.49
2020-06-09,192.05
2020-06-10,188.55
2020-06-11,174.26
2020-06-12,178.18
2020-06-15,177.61
2020-06-16,178.73
2020-06-17,176.97
2020-06-18,174.38
2020-06-19,170.26
2020-06-22,171.47
2020-06-23,174.49
2020-06-24,169.15
2020-06-25,171.68
2020-06-26,169.81
2020-06-29,172.68
2020-06-30,175.57
2020-07-01,171.52
2020-07-02,174.51
2020-07-06,178.62
2020-07-07,174.12
2020-07-08,175.26
2020-07-09,170.91
2020-07-10,170.85
2020-07-13,175.13
2020-07-14,177.93
2020-07-15,181.28
2020-07-16,182.92
2020-07-17,188.25
2020-07-20,186.17
2020-07-21,187.18
2020-07-22,189.08
