date,close
2020-01-27,98.46
2020-01-28,99.75
2020-01-29,99.64
2020-01-30,101.05
2020-01-31,97.81
2020-02-03,97.66
2020-02-04,100.42
2020-02-05,103.42
2020-02-06,102.65
2020-02-07,101.26
2020-02-10,101.06
2020-02-11,102.89
2020-02-12,102.43
2020-02-13,101.21
2020-02-14,101.2
2020-02-18,100.83
2020-02-19,103.07
2020-02-20,102.7
2020-02-21,101.94
2020-02-24,96.53
2020-02-25,91.13
2020-02-26,89.37
2020-02-27,87.68
2020-02-28,87.76
2020-03-02,88.49
2020-03-03,83.44
2020-03-04,85.05
2020-03-05,80.89
2020-03-06,77.64
2020-03-09,70.83
2020-03-10,74.36
2020-03-11,71.47
2020-03-12,63.04
2020-03-13,76.05
2020-03-16,62.22
2020-03-17,68.55
2020-03-18,66.18
2020-03-19,67.41
2020-03-20,64.56
2020-03-23,63.11
2020-03-24,69.86
2020-03-25,72.86
2020-03-26,75.35
2020-03-27,73.98
2020-03-30,75.79
2020-03-31,75.46
2020-04-01,73.0
2020-04-02,76.92
2020-04-03,77.03
2020-04-06,81.37
2020-04-07,82.6
2020-04-08,83.38
2020-04-09,84.89
2020-04-13,83.55
2020-04-14,83.39
2020-04-15,78.89
2020-04-16,77.96
2020-04-17,80.0
2020-04-20,79.33
2020-04-21,74.43
2020-04-22,76.17
2020-04-23,75.61
2020-04-24,77.39
2020-04-27,79.91
2020-04-28,80.13
2020-04-29,82.04
2020-04-30,79.16
2020-05-01,75.47
2020-05-04,74.96
2020-05-05,73.07
2020-05-06,72.07
2020-05-07,73.94
2020-05-08,75.99
2020-05-11,74.77
2020-05-12,72.85
2020-05-13,70.25
2020-05-14,72.26
2020-05-15,71.13
2020-05-18,75.94
2020-05-19,73.37
2020-05-20,74.76
2020-05-21,73.94
2020-05-22,73.88
2020-05-26,79.14
2020-05-27,82.9
2020-05-28,79.92
2020-05-29,79.01
2020-06-01,80.67
2020-06-02,80.86
2020-06-03,85.14
2020-06-04,87.98
2020-06-05,90.7
2020-06-08,91.16
2020-06-09,91.99
2020-06-10,87.63
2020-06-11,82.05
2020-06-12,83.61
2020-06-15,83.52
2020-06-16,84.93
2020-06-17,83.82
2020-06-18,82.62
2020-06-19,82.66
2020-06-22,81.75
2020-06-23,81.1
2020-06-24,77.18
2020-06-25,78.44
2020-06-26,76.2
2020-06-29,76.3
2020-06-30,79.34
2020-07-01,76.94
2020-07-02,77.67
2020-07-06,78.7
2020-07-07,77.85
2020-07-08,80.16
2020-07-09,76.41
2020-07-10,80.17
2020-07-13,81.57
2020-07-14,81.65
2020-07-15,80.55
2020-07-16,79.94
2020-07-17,77.71
2020-07-20,77.74
2020-07-21,79.83
2020-07-22,75.62
2020-07-23,77.48
2020-07-24,76.03
2020-07-27,76.61
2020-07-28,77.1
2020-07-29,79.26
2020-07-30,77.93
2020-07-31,78.35
2020-08-03,79.28
2020-08-04,79.28
2020-08-05,80.39
2020-08-06,80.06
2020-08-07,83.25
2020-08-10,83.66
2020-08-11,84.27
2020-08-12,84.07
2020-08-13,82.65
2020-08-14,83.42
2020-08-17,82.58
2020-08-18,82.22
2020-08-19,83.0
2020-08-20,81.43
2020-08-21,81.73
2020-08-24,84.26
2020-08-25,84.0
2020-08-26,82.74
2020-08-27,84.28
2020-08-28,83.91
2020-08-31,81.89
2020-09-01,82.08
2020-09-02,83.92
2020-09-03,83.66
2020-09-04,84.45
2020-09-08,81.61
2020-09-09,81.09
2020-09-10,78.65
2020-09-11,79.85
2020-09-14,80.5
2020-09-15,78.76
2020-09-16,83.22
2020-09-17,82.9
2020-09-18,81.74
2020-09-21,79.5
2020-09-22,77.79
2020-09-23,75.99
2020-09-24,75.22
2020-09-25,76.46
2020-09-28,78.61
2020-09-29,77.46
2020-09-30,77.97
2020-10-01,77.05
2020-10-02,78.41
2020-10-05,80.83
2020-10-06,80.19
2020-10-07,82.24
2020-10-08,84.25
2020-10-09,85.22
2020-10-12,86.31
2020-10-13,83.93
2020-10-14,84.39
2020-10-15,87.02
2020-10-16,87.38
2020-10-19,85.41
2020-10-20,85.76
2020-10-21,85.77
2020-10-22,85.76
2020-10-23,84.41
2020-10-26,82.23
2020-10-27,80.7
2020-10-28,77.8
2020-10-29,78.29
2020-10-30,78.27
2020-11-02,79.05
2020-11-03,82.54
2020-11-04,78.89
2020-11-05,81.58
2020-11-06,81.66
2020-11-09,90.8
2020-11-10,91.85
2020-11-11,89.21
2020-11-12,87.57
2020-11-13,90.8
2020-11-16,93.14
2020-11-17,93.67
2020-11-18,92.69
2020-11-19,93.36
2020-11-20,91.39
2020-11-23,93.56
2020-11-24,97.61
2020-11-25,96.88
2020-11-27,96.14
2020-11-30,93.12
2020-12-01,93.27
2020-12-02,93.9
2020-12-03,92.99
2020-12-04,94.81
2020-12-07,94.42
2020-12-08,94.63
2020-12-09,93.22
2020-12-10,91.72
2020-12-11,90.1
2020-12-14,88.58
2020-12-15,90.73
2020-12-16,90.79
2020-12-17,92.1
2020-12-18,91.9
2020-12-21,91.05
2020-12-22,90.6
2020-12-23,91.99
2020-12-24,91.59
2020-12-28,92.48
2020-12-29,91.91
2020-12-30,91.92
2020-12-31,93.14
2021-01-04,92.5
2021-01-05,91.81
2021-01-06,97.29
2021-01-07,97.58
2021-01-08,96.89
2021-01-11,97.89
2021-01-12,99.35
2021-01-13,98.33
2021-01-14,99.69
2021-01-15,96.44
2021-01-19,97.36
2021-01-20,94.8
2021-01-21,94.22
2021-01-22,94.6
