date,close
2020-01-27,49.18
2020-01-28,49.47
2020-01-29,48.06
2020-01-30,48.86
2020-01-31,47.49
2020-02-03,47.94
2020-02-04,48.84
2020-02-05,49.52
2020-02-06,49.05
2020-02-07,47.92
2020-02-10,47.66
2020-02-11,48.34
2020-02-12,48.37
2020-02-13,47.95
2020-02-14,47.15
2020-02-18,47.39
2020-02-19,47.71
2020-02-20,47.85
2020-02-21,48.57
2020-02-24,47.29
2020-02-25,44.97
2020-02-26,43.67
2020-02-27,41.81
2020-02-28,41.35
2020-03-02,42.7
2020-03-03,41.87
2020-03-04,43.19
2020-03-05,40.77
2020-03-06,39.61
2020-03-09,34.72
2020-03-10,37.13
2020-03-11,35.43
2020-03-12,31.77
2020-03-13,35.84
2020-03-16,30.64
2020-03-17,30.99
2020-03-18,29.35
2020-03-19,30.82
2020-03-20,30.63
2020-03-23,28.42
2020-03-24,31.98
2020-03-25,31.2
2020-03-26,33.54
2020-03-27,33.36
2020-03-30,34.92
2020-03-31,36.02
2020-04-01,35.9
2020-04-02,35.94
2020-04-03,35.65
2020-04-06,37.51
2020-04-07,37.32
2020-04-08,39.05
2020-04-09,39.43
2020-04-13,38.79
2020-04-14,38.38
2020-04-15,35.53
2020-04-16,35.51
2020-04-17,37.33
2020-04-20,36.53
2020-04-21,36.05
2020-04-22,36.4
2020-04-23,37.72
2020-04-24,37.87
2020-04-27,40.5
2020-04-28,40.49
2020-04-29,42.5
2020-04-30,41.19
2020-05-01,41.0
2020-05-04,41.06
2020-05-05,40.75
2020-05-06,40.5
2020-05-07,40.91
2020-05-08,42.2
2020-05-11,40.63
2020-05-12,39.01
2020-05-13,37.32
2020-05-14,37.49
2020-05-15,38.07
2020-05-18,40.86
2020-05-19,40.41
2020-05-20,40.68
2020-05-21,40.0
2020-05-22,39.48
2020-05-26,41.51
2020-05-27,43.1
2020-05-28,42.55
2020-05-29,42.26
2020-06-01,42.46
2020-06-02,43.23
2020-06-03,44.1
2020-06-04,44.64
2020-06-05,45.47
2020-06-08,45.49
2020-06-09,44.25
2020-06-10,44.1
2020-06-11,39.66
2020-06-12,41.2
2020-06-15,41.92
2020-06-16,44.59
2020-06-17,44.0
2020-06-18,43.52
2020-06-19,42.7
2020-06-22,42.3
2020-06-23,42.22
2020-06-24,40.67
2020-06-25,41.42
2020-06-26,40.6
2020-06-29,40.9
2020-06-30,41.41
2020-07-01,40.38
2020-07-02,41.4
2020-07-06,41.65
2020-07-07,41.18
2020-07-08,39.66
2020-07-09,38.8
2020-07-10,40.45
2020-07-13,39.94
2020-07-14,41.06
2020-07-15,41.68
2020-07-16,41.76
2020-07-17,41.26
