date,close
2020-01-27,6.01
2020-01-28,6.2
2020-01-29,6.14
2020-01-30,6.15
2020-01-31,5.91
2020-02-03,6.01
2020-02-04,6.18
2020-02-05,6.27
2020-02-06,6.36
2020-02-07,6.29
2020-02-10,6.57
2020-02-11,6.7
2020-02-12,6.81
2020-02-13,6.77
2020-02-14,7.24
2020-02-18,7.41
2020-02-19,7.87
2020-02-20,7.72
2020-02-21,7.35
2020-02-24,6.83
2020-02-25,6.55
2020-02-26,6.69
2020-02-27,6.32
2020-02-28,6.75
2020-03-02,6.91
2020-03-03,6.65
2020-03-04,7.11
2020-03-05,6.83
2020-03-06,6.65
2020-03-09,6.14
2020-03-10,6.53
2020-03-11,6.16
2020-03-12,5.41
2020-03-13,6.02
2020-03-16,4.91
2020-03-17,5.43
2020-03-18,5.07
2020-03-19,5.32
2020-03-20,5.14
2020-03-23,5.32
2020-03-24,6.23
2020-03-25,6.14
2020-03-26,6.43
2020-03-27,6.32
2020-03-30,6.64
2020-03-31,6.59
2020-04-01,6.08
2020-04-02,6.39
2020-04-03,6.1
2020-04-06,6.71
2020-04-07,6.48
2020-04-08,6.67
2020-04-09,6.57
2020-04-13,6.75
2020-04-14,7.1
2020-04-15,7.02
2020-04-16,7.37
2020-04-17,7.31
2020-04-20,7.18
2020-04-21,6.74
2020-04-22,7.15
2020-04-23,7.1
2020-04-24,7.24
2020-04-27,7.43
2020-04-28,7.28
2020-04-29,7.46
2020-04-30,7.31
2020-05-01,7.07
2020-05-04,7.28
2020-05-05,7.34
2020-05-06,7.44
2020-05-07,7.62
2020-05-08,7.81
2020-05-11,8.07
2020-05-12,7.8
2020-05-13,7.78
2020-05-14,8.03
2020-05-15,8.49
2020-05-18,8.75
2020-05-19,8.81
2020-05-20,8.97
2020-05-21,8.78
2020-05-22,9.03
2020-05-26,8.72
2020-05-27,8.53
2020-05-28,8.49
2020-05-29,8.88
2020-06-01,8.81
2020-06-02,8.83
2020-06-03,8.77
2020-06-04,8.77
2020-06-05,8.92
2020-06-08,8.81
2020-06-09,9.05
2020-06-10,9.37
2020-06-11,8.8
2020-06-12,8.93
2020-06-15,9.17
2020-06-16,9.07
2020-06-17,9.24
2020-06-18,9.22
2020-06-19,9.26
2020-06-22,9.53
2020-06-23,9.45
2020-06-24,9.24
2020-06-25,9.49
2020-06-26,9.15
2020-06-29,9.2
2020-06-30,9.5
2020-07-01,9.53
2020-07-02,9.61
2020-07-06,9.84
2020-07-07,9.87
2020-07-08,10.22
2020-07-09,10.51
2020-07-10,10.48
2020-07-13,10.05
2020-07-14,10.38
2020-07-15,10.23
2020-07-16,10.13
2020-07-17,10.2
2020-07-20,10.51
2020-07-21,10.33
2020-07-22,10.44
2020-07-23,10.13
2020-07-24,10.19
2020-07-27,10.42
2020-07-28,10.22
2020-07-29,10.47
2020-07-30,10.61
2020-07-31,10.61
2020-08-03,11.01
2020-08-04,11.23
2020-08-05,11.29
2020-08-06,11.34
2020-08-07,11.2
2020-08-10,11.17
2020-08-11,10.85
2020-08-12,11.44
2020-08-13,11.44
2020-08-14,11.56
2020-08-17,12.34
2020-08-18,12.26
2020-08-19,12.14
2020-08-20,12.14
2020-08-21,12.68
2020-08-24,12.72
2020-08-25,12.75
2020-08-26,12.77
2020-08-27,12.63
2020-08-28,13.15
2020-08-31,13.37
2020-09-01,13.82
2020-09-02,14.35
2020-09-03,13.02
2020-09-04,12.62
2020-09-08,11.91
2020-09-09,12.72
2020-09-10,12.31
2020-09-11,12.16
2020-09-14,12.87
2020-09-15,12.99
2020-09-16,12.51
2020-09-17,12.46
2020-09-18,12.19
2020-09-21,12.52
2020-09-22,12.64
2020-09-23,12.12
2020-09-24,12.35
2020-09-25,12.87
2020-09-28,13.04
2020-09-29,13.23
2020-09-30,13.53
2020-10-01,13.61
2020-10-02,13.06
2020-10-05,13.64
2020-10-06,13.74
2020-10-07,13.96
2020-10-08,13.84
2020-10-09,13.76
2020-10-12,14.23
2020-10-13,14.25
2020-10-14,14.1
2020-10-15,13.97
2020-10-16,13.81
2020-10-19,13.5
2020-10-20,13.65
2020-10-21,13.52
2020-10-22,13.36
2020-10-23,13.59
2020-10-26,13.14
2020-10-27,13.4
2020-10-28,12.63
2020-10-29,13.02
2020-10-30,12.53
2020-11-02,12.58
2020-11-03,13.02
2020-11-04,13.79
2020-11-05,14.16
2020-11-06,14.56
2020-11-09,13.63
2020-11-10,12.77
2020-11-11,13.42
2020-11-12,13.46
2020-11-13,13.3
2020-11-16,13.52
2020-11-17,13.42
2020-11-18,13.43
2020-11-19,13.44
2020-11-20,13.09
2020-11-23,13.14
2020-11-24,12.96
2020-11-25,13.23
2020-11-27,13.26
2020-11-30,13.4
2020-12-01,13.39
2020-12-02,13.54
2020-12-03,13.4
2020-12-04,13.56
2020-12-07,13.61
2020-12-08,13.35
2020-12-09,12.93
2020-12-10,12.97
2020-12-11,13.01
2020-12-14,13.31
2020-12-15,13.36
2020-12-16,13.24
2020-12-17,13.34
2020-12-18,13.27
2020-12-21,13.33
2020-12-22,13.28
2020-12-23,13.01
2020-12-24,12.99
2020-12-28,12.9
2020-12-29,12.94
2020-12-30,13.15
2020-12-31,13.06
2021-01-04,13.11
2021-01-05,13.4
2021-01-06,12.61
2021-01-07,13.34
2021-01-08,13.28
2021-01-11,13.62
2021-01-12,13.48
2021-01-13,13.53
2021-01-14,13.2
2021-01-15,12.86
2021-01-19,13.03
2021-01-20,13.37
2021-01-21,13.87
2021-01-22,13.71
2021-01-25,13.65
2021-01-26,13.44
2021-01-27,12.92
2021-01-28,13.05
2021-01-29,12.99
2021-02-01,13.24
2021-02-02,13.56
2021-02-03,13.53
2021-02-04,13.66
2021-02-05,13.59
2021-02-08,14.44
2021-02-09,14.26
2021-02-10,14.76
2021-02-11,15.25
2021-02-12,14.96
2021-02-16,15.33
2021-02-17,14.91
2021-02-18,14.83
2021-02-19,14.93
2021-02-22,14.36
2021-02-23,14.14
2021-02-24,14.5
2021-02-25,13.31
2021-02-26,13.71
2021-03-01,13.84
2021-03-02,13.41
2021-03-03,12.8
2021-03-04,12.37
2021-03-05,12.46
2021-03-08,11.59
2021-03-09,12.52
2021-03-10,12.47
2021-03-11,12.99
2021-03-12,12.86
2021-03-15,13.19
2021-03-16,13.29
