date,close
2020-01-27,63.36
2020-01-28,63.91
2020-01-29,64.04
2020-01-30,61.9
2020-01-31,61.38
2020-02-03,59.87
2020-02-04,60.36
2020-02-05,60.55
2020-02-06,59.45
2020-02-07,59.3
2020-02-10,59.04
2020-02-11,58.88
2020-02-12,59.54
2020-02-13,59.23
2020-02-14,60.06
2020-02-18,60.43
2020-02-19,60.71
2020-02-20,60.8
2020-02-21,60.45
2020-02-24,59.96
2020-02-25,57.8
2020-02-26,57.0
2020-02-27,55.14
2020-02-28,54.55
2020-03-02,56.74
2020-03-03,56.51
2020-03-04,57.03
2020-03-05,54.97
2020-03-06,52.14
2020-03-09,40.12
2020-03-10,46.25
2020-03-11,44.25
2020-03-12,38.0
2020-03-13,40.08
2020-03-16,33.37
2020-03-17,31.51
2020-03-18,29.17
2020-03-19,28.61
2020-03-20,29.73
2020-03-23,27.78
2020-03-24,29.46
2020-03-25,32.82
2020-03-26,34.52
2020-03-27,33.61
2020-03-30,33.31
2020-03-31,36.49
2020-04-01,34.76
2020-04-02,35.37
2020-04-03,35.61
2020-04-06,36.84
2020-04-07,35.93
2020-04-08,37.36
2020-04-09,39.24
2020-04-13,38.66
2020-04-14,39.12
2020-04-15,37.76
2020-04-16,37.38
2020-04-17,40.02
2020-04-20,39.69
2020-04-21,39.71
2020-04-22,39.57
2020-04-23,39.23
2020-04-24,40.55
2020-04-27,41.8
2020-04-28,40.99
2020-04-29,42.67
2020-04-30,41.13
2020-05-01,41.21
2020-05-04,43.93
2020-05-05,43.1
2020-05-06,42.66
2020-05-07,41.18
2020-05-08,42.95
2020-05-11,42.72
2020-05-12,41.47
2020-05-13,40.87
2020-05-14,41.49
2020-05-15,41.84
2020-05-18,43.1
2020-05-19,43.9
2020-05-20,44.42
2020-05-21,44.1
2020-05-22,44.36
2020-05-26,44.88
2020-05-27,44.9
2020-05-28,44.57
2020-05-29,45.34
2020-06-01,44.53
2020-06-02,44.7
2020-06-03,46.18
2020-06-04,47.15
2020-06-05,47.92
2020-06-08,49.42
2020-06-09,46.97
2020-06-10,45.83
2020-06-11,42.62
2020-06-12,43.56
2020-06-15,45.35
2020-06-16,45.96
2020-06-17,45.59
2020-06-18,44.77
2020-06-19,44.28
2020-06-22,44.41
2020-06-23,44.1
2020-06-24,42.43
2020-06-25,42.68
2020-06-26,41.15
2020-06-29,42.03
2020-06-30,43.17
2020-07-01,42.9
2020-07-02,43.02
2020-07-06,43.33
2020-07-07,43.1
2020-07-08,42.51
2020-07-09,40.39
2020-07-10,41.02
2020-07-13,40.77
2020-07-14,40.65
2020-07-15,42.75
2020-07-16,43.04
2020-07-17,42.53
2020-07-20,41.13
2020-07-21,42.31
2020-07-22,42.01
2020-07-23,42.33
2020-07-24,41.88
2020-07-27,41.68
2020-07-28,41.23
2020-07-29,42.44
2020-07-30,41.34
2020-07-31,40.49
2020-08-03,40.54
2020-08-04,40.68
2020-08-05,40.76
2020-08-06,40.35
2020-08-07,40.7
2020-08-10,40.99
2020-08-11,40.92
2020-08-12,41.52
2020-08-13,41.46
2020-08-14,41.39
2020-08-17,41.81
2020-08-18,41.18
2020-08-19,41.37
2020-08-20,40.88
2020-08-21,40.11
2020-08-24,39.48
2020-08-25,39.0
2020-08-26,37.78
2020-08-27,38.49
2020-08-28,39.18
2020-08-31,38.01
2020-09-01,38.11
2020-09-02,37.81
2020-09-03,37.97
2020-09-04,37.64
2020-09-08,37.36
2020-09-09,36.99
2020-09-10,36.92
2020-09-11,37.16
2020-09-14,37.44
2020-09-15,36.88
2020-09-16,37.4
2020-09-17,37.0
2020-09-18,36.92
2020-09-21,36.81
2020-09-22,35.65
2020-09-23,34.23
2020-09-24,33.75
2020-09-25,33.89
2020-09-28,35.01
2020-09-29,34.9
2020-09-30,34.2
2020-10-01,33.63
2020-10-02,34.67
2020-10-05,35.7
2020-10-06,35.22
2020-10-07,35.4
2020-10-08,36.93
2020-10-09,37.06
2020-10-12,37.26
2020-10-13,36.52
2020-10-14,36.96
2020-10-15,37.24
2020-10-16,36.72
2020-10-19,36.15
2020-10-20,36.55
2020-10-21,36.02
2020-10-22,37.34
2020-10-23,37.48
2020-10-26,36.21
2020-10-27,35.81
2020-10-28,34.78
2020-10-29,35.52
2020-10-30,35.54
2020-11-02,35.83
2020-11-03,35.98
2020-11-04,36.69
2020-11-05,35.61
2020-11-06,34.25
2020-11-09,37.12
2020-11-10,38.35
2020-11-11,38.61
2020-11-12,38.58
2020-11-13,39.89
2020-11-16,41.04
2020-11-17,41.38
2020-11-18,40.8
2020-11-19,42.0
2020-11-20,41.7
2020-11-23,43.03
2020-11-24,44.07
2020-11-25,43.26
2020-11-27,42.51
2020-11-30,41.15
2020-12-01,41.15
2020-12-02,42.07
2020-12-03,43.48
2020-12-04,44.71
2020-12-07,44.22
