date,close
2020-01-27,76.87
2020-01-28,76.76
2020-01-29,76.21
2020-01-30,75.99
2020-01-31,75.31
2020-02-03,75.64
2020-02-04,76.73
2020-02-05,77.77
2020-02-06,76.59
2020-02-07,75.74
2020-02-10,77.0
2020-02-11,77.28
2020-02-12,78.85
2020-02-13,79.53
2020-02-14,78.14
2020-02-18,78.61
2020-02-19,78.62
2020-02-20,78.78
2020-02-21,78.27
2020-02-24,76.24
2020-02-25,74.02
2020-02-26,72.41
2020-02-27,69.52
2020-02-28,69.28
2020-03-02,70.36
2020-03-03,69.19
2020-03-04,70.98
2020-03-05,68.12
2020-03-06,65.82
2020-03-09,60.37
2020-03-10,64.18
2020-03-11,62.22
2020-03-12,56.55
2020-03-13,62.91
2020-03-16,57.23
2020-03-17,59.51
2020-03-18,56.03
2020-03-19,54.84
2020-03-20,49.51
2020-03-23,48.3
2020-03-24,51.48
2020-03-25,52.16
2020-03-26,56.35
2020-03-27,51.98
2020-03-30,54.92
2020-03-31,54.9
2020-04-01,51.67
2020-04-02,52.11
2020-04-03,49.59
2020-04-06,53.7
2020-04-07,54.26
2020-04-08,54.67
2020-04-09,56.8
2020-04-13,55.75
2020-04-14,55.59
2020-04-15,51.96
2020-04-16,53.02
2020-04-17,54.57
2020-04-20,53.92
2020-04-21,51.34
2020-04-22,50.69
2020-04-23,51.49
2020-04-24,52.03
2020-04-27,54.34
2020-04-28,56.5
2020-04-29,61.36
2020-04-30,57.03
2020-05-01,55.89
2020-05-04,54.27
2020-05-05,54.22
2020-05-06,54.34
2020-05-07,53.63
2020-05-08,55.11
2020-05-11,53.6
2020-05-12,51.86
2020-05-13,49.06
2020-05-14,50.24
2020-05-15,50.9
2020-05-18,53.17
2020-05-19,52.29
2020-05-20,52.44
2020-05-21,51.86
2020-05-22,51.78
2020-05-26,54.09
2020-05-27,57.81
2020-05-28,55.17
2020-05-29,54.79
2020-06-01,55.58
2020-06-02,55.26
2020-06-03,57.13
2020-06-04,57.86
2020-06-05,60.78
2020-06-08,63.9
2020-06-09,60.34
2020-06-10,58.12
2020-06-11,54.45
2020-06-12,55.03
2020-06-15,56.32
2020-06-16,56.36
2020-06-17,55.39
2020-06-18,55.42
2020-06-19,53.33
2020-06-22,52.76
2020-06-23,54.1
2020-06-24,52.45
2020-06-25,52.8
2020-06-26,52.78
2020-06-29,54.29
2020-06-30,54.6
2020-07-01,54.54
2020-07-02,54.61
2020-07-06,55.26
2020-07-07,55.71
2020-07-08,53.6
2020-07-09,51.66
2020-07-10,53.82
2020-07-13,54.53
2020-07-14,54.86
2020-07-15,56.23
2020-07-16,56.25
2020-07-17,55.69
2020-07-20,53.97
2020-07-21,54.5
2020-07-22,54.98
2020-07-23,56.33
2020-07-24,56.56
2020-07-27,57.01
2020-07-28,54.66
2020-07-29,54.02
2020-07-30,53.26
2020-07-31,53.73
2020-08-03,53.7
2020-08-04,53.14
2020-08-05,52.7
2020-08-06,53.68
2020-08-07,53.27
2020-08-10,55.01
2020-08-11,55.74
2020-08-12,54.15
2020-08-13,54.32
2020-08-14,54.85
2020-08-17,53.83
2020-08-18,54.12
2020-08-19,53.73
2020-08-20,52.86
2020-08-21,52.55
2020-08-24,54.49
2020-08-25,53.8
2020-08-26,53.66
2020-08-27,54.96
2020-08-28,55.11
2020-08-31,54.09
2020-09-01,53.02
2020-09-02,53.93
2020-09-03,54.29
2020-09-04,54.08
2020-09-08,53.83
2020-09-09,53.0
2020-09-10,51.8
2020-09-11,52.32
2020-09-14,53.83
2020-09-15,53.71
2020-09-16,53.92
2020-09-17,53.59
2020-09-18,51.55
2020-09-21,49.25
2020-09-22,49.71
2020-09-23,48.81
2020-09-24,48.9
2020-09-25,49.15
2020-09-28,49.64
2020-09-29,48.85
2020-09-30,49.5
2020-10-01,49.57
2020-10-02,51.33
2020-10-05,51.7
2020-10-06,51.22
2020-10-07,52.15
2020-10-08,53.15
2020-10-09,52.47
2020-10-12,53.45
2020-10-13,52.86
2020-10-14,53.18
2020-10-15,52.79
2020-10-16,52.48
2020-10-19,50.84
2020-10-20,51.15
2020-10-21,51.5
2020-10-22,51.58
2020-10-23,52.72
2020-10-26,51.24
2020-10-27,48.82
2020-10-28,46.09
2020-10-29,45.8
2020-10-30,47.2
2020-11-02,48.72
2020-11-03,50.05
2020-11-04,47.84
2020-11-05,49.32
2020-11-06,48.36
2020-11-09,55.49
2020-11-10,57.0
2020-11-11,57.23
2020-11-12,56.23
2020-11-13,58.36
2020-11-16,61.88
2020-11-17,61.84
2020-11-18,59.7
2020-11-19,59.39
2020-11-20,59.65
2020-11-23,61.1
2020-11-24,64.44
2020-11-25,64.17
2020-11-27,63.0
