date,close
2020-01-27,41.24
2020-01-28,41.2
2020-01-29,40.47
2020-01-30,40.59
2020-01-31,39.72
2020-02-03,40.08
2020-02-04,40.5
2020-02-05,42.12
2020-02-06,42.12
2020-02-07,41.89
2020-02-10,40.5
2020-02-11,41.17
2020-02-12,42.49
2020-02-13,42.04
2020-02-14,41.6
2020-02-18,41.56
2020-02-19,42.51
2020-02-20,42.97
2020-02-21,42.12
2020-02-24,39.48
2020-02-25,36.19
2020-02-26,34.22
2020-02-27,31.81
2020-02-28,32.74
2020-03-02,32.95
2020-03-03,32.99
2020-03-04,32.93
2020-03-05,31.48
2020-03-06,26.86
2020-03-09,12.51
2020-03-10,14.34
2020-03-11,11.8
2020-03-12,11.89
2020-03-13,14.26
2020-03-16,12.02
2020-03-17,11.34
2020-03-18,10.53
2020-03-19,10.83
2020-03-20,10.23
2020-03-23,9.69
2020-03-24,10.72
2020-03-25,12.0
2020-03-26,12.83
2020-03-27,11.61
2020-03-30,11.01
2020-03-31,11.58
2020-04-01,10.74
2020-04-02,12.77
2020-04-03,13.0
2020-04-06,13.44
2020-04-07,13.84
2020-04-08,15.56
2020-04-09,15.36
2020-04-13,15.33
2020-04-14,14.9
2020-04-15,13.61
2020-04-16,12.2
2020-04-17,13.63
2020-04-20,12.59
2020-04-21,12.34
2020-04-22,13.02
2020-04-23,13.87
2020-04-24,13.81
2020-04-27,14.15
2020-04-28,15.17
2020-04-29,16.78
2020-04-30,16.6
2020-05-01,15.24
2020-05-04,15.52
2020-05-05,15.32
2020-05-06,13.4
2020-05-07,13.88
2020-05-08,15.02
2020-05-11,15.03
2020-05-12,14.58
2020-05-13,13.44
2020-05-14,13.76
2020-05-15,13.82
2020-05-18,15.07
2020-05-19,14.37
2020-05-20,14.99
2020-05-21,14.25
2020-05-22,14.13
2020-05-26,14.4
2020-05-27,14.42
2020-05-28,13.64
2020-05-29,12.95
2020-06-01,13.81
2020-06-02,14.75
2020-06-03,15.45
2020-06-04,15.55
2020-06-05,20.79
2020-06-08,24.4
2020-06-09,23.18
2020-06-10,20.76
2020-06-11,17.41
2020-06-12,18.5
2020-06-15,19.05
2020-06-16,20.29
2020-06-17,19.04
2020-06-18,19.67
2020-06-19,19.71
2020-06-22,19.91
2020-06-23,19.79
2020-06-24,18.0
2020-06-25,18.54
2020-06-26,17.69
2020-06-29,17.86
2020-06-30,18.3
2020-07-01,17.41
2020-07-02,17.78
2020-07-06,18.18
2020-07-07,17.15
2020-07-08,17.28
2020-07-09,16.28
2020-07-10,16.71
2020-07-13,16.16
2020-07-14,16.68
2020-07-15,17.18
2020-07-16,17.01
2020-07-17,16.28
2020-07-20,15.69
2020-07-21,17.41
2020-07-22,16.95
2020-07-23,16.82
2020-07-24,16.74
2020-07-27,16.7
2020-07-28,16.35
2020-07-29,17.03
2020-07-30,15.77
2020-07-31,15.74
2020-08-03,15.25
2020-08-04,15.74
2020-08-05,15.94
2020-08-06,15.45
2020-08-07,15.45
2020-08-10,16.48
2020-08-11,15.16
2020-08-12,14.92
2020-08-13,14.6
2020-08-14,14.64
2020-08-17,13.91
2020-08-18,13.95
2020-08-19,13.82
2020-08-20,13.4
2020-08-21,13.16
2020-08-24,13.62
2020-08-25,13.51
2020-08-26,12.96
2020-08-27,13.04
2020-08-28,13.13
2020-08-31,12.74
2020-09-01,12.48
2020-09-02,12.4
2020-09-03,12.59
2020-09-04,12.25
2020-09-08,11.06
2020-09-09,11.07
2020-09-10,10.19
2020-09-11,10.22
2020-09-14,10.17
2020-09-15,10.71
2020-09-16,11.64
2020-09-17,11.86
2020-09-18,11.65
2020-09-21,11.29
2020-09-22,11.08
2020-09-23,10.41
2020-09-24,10.64
2020-09-25,10.22
2020-09-28,10.34
2020-09-29,9.99
2020-09-30,10.01
2020-10-01,9.68
2020-10-02,9.87
2020-10-05,10.51
2020-10-06,10.13
2020-10-07,10.28
2020-10-08,11.18
2020-10-09,10.82
2020-10-12,10.81
2020-10-13,10.52
2020-10-14,10.45
2020-10-15,10.61
2020-10-16,10.09
2020-10-19,9.82
2020-10-20,10.07
2020-10-21,9.66
2020-10-22,10.17
2020-10-23,10.02
2020-10-26,9.46
2020-10-27,9.27
2020-10-28,8.88
2020-10-29,9.13
2020-10-30,9.13
2020-11-02,9.65
2020-11-03,9.69
2020-11-04,9.81
2020-11-05,10.47
2020-11-06,10.01
2020-11-09,12.23
2020-11-10,12.38
2020-11-11,11.9
2020-11-12,11.31
2020-11-13,11.8
2020-11-16,12.7
2020-11-17,12.99
2020-11-18,12.87
2020-11-19,13.36
2020-11-20,13.49
2020-11-23,15.76
2020-11-24,16.78
2020-11-25,16.72
2020-11-27,16.56
2020-11-30,15.76
2020-12-01,15.13
2020-12-02,15.89
2020-12-03,16.39
2020-12-04,18.59
2020-12-07,18.19
2020-12-08,19.13
2020-12-09,19.39
2020-12-10,21.31
2020-12-11,20.89
2020-12-14,19.17
2020-12-15,19.84
2020-12-16,19.45
2020-12-17,19.18
2020-12-18,18.52
2020-12-21,17.47
2020-12-22,16.92
2020-12-23,17.89
2020-12-24,17.67
2020-12-28,17.4
2020-12-29,17.24
2020-12-30,17.91
2020-12-31,17.31
2021-01-04,17.45
2021-01-05,19.21
2021-01-06,20.0
2021-01-07,20.57
2021-01-08,20.08
2021-01-11,20.08
2021-01-12,22.62
2021-01-13,22.33
2021-01-14,24.24
2021-01-15,22.39
2021-01-19,23.07
2021-01-20,23.02
2021-01-21,21.54
2021-01-22,21.49
2021-01-25,21.51
2021-01-26,20.38
2021-01-27,20.58
2021-01-28,20.95
2021-01-29,20.06
2021-02-01,20.39
2021-02-02,20.73
2021-02-03,22.02
2021-02-04,22.3
2021-02-05,22.56
2021-02-08,25.45
2021-02-09,24.65
2021-02-10,25.6
2021-02-11,24.98
2021-02-12,25.39
2021-02-16,26.46
2021-02-17,26.73
2021-02-18,25.28
2021-02-19,25.42
2021-02-22,26.47
2021-02-23,26.06
2021-02-24,28.16
2021-02-25,26.75
2021-02-26,26.61
2021-03-01,27.64
2021-03-02,27.82
2021-03-03,28.66
2021-03-04,29.9
2021-03-05,31.23
2021-03-08,29.77
2021-03-09,28.65
2021-03-10,29.36
2021-03-11,30.98
2021-03-12,30.63
2021-03-15,29.3
2021-03-16,28.17
2021-03-17,29.04
2021-03-18,26.62
2021-03-19,28.1
2021-03-22,27.46
2021-03-23,26.59
2021-03-24,27.06
2021-03-25,26.7
2021-03-26,27.76
2021-03-29,27.0
2021-03-30,27.33
2021-03-31,26.62
2021-04-01,27.38
2021-04-05,25.31
2021-04-06,25.35
2021-04-07,25.3
2021-04-08,24.73
2021-04-09,24.59
2021-04-12,24.23
2021-04-13,24.29
2021-04-14,25.55
2021-04-15,24.86
2021-04-16,24.38
2021-04-19,24.54
2021-04-20,23.2
2021-04-21,24.45
2021-04-22,24.1
2021-04-23,24.65
2021-04-26,24.9
2021-04-27,25.09
2021-04-28,26.1
2021-04-29,25.94
2021-04-30,25.36
2021-05-03,26.14
2021-05-04,25.86
2021-05-05,27.05
2021-05-06,26.65
2021-05-07,27.39
2021-05-10,26.63
2021-05-11,24.53
2021-05-12,25.12
2021-05-13,23.71
2021-05-14,25.1
2021-05-17,26.39
2021-05-18,25.87
2021-05-19,25.07
2021-05-20,24.95
2021-05-21,25.12
2021-05-24,25.44
2021-05-25,24.62
2021-05-26,25.29
2021-05-27,26.07
2021-05-28,25.96
2021-06-01,28.47
2021-06-02,29.23
2021-06-03,29.28
2021-06-04,29.14
2021-06-07,29.16
2021-06-08,29.19
2021-06-09,28.35
2021-06-10,28.33
2021-06-11,28.33
2021-06-14,28.28
2021-06-15,29.2
2021-06-16,30.54
2021-06-17,28.22
2021-06-18,27.99
2021-06-21,29.5
2021-06-22,30.01
2021-06-23,30.96
2021-06-24,31.74
2021-06-25,32.91
2021-06-28,31.24
2021-06-29,31.3
2021-06-30,31.27
2021-07-01,32.86
2021-07-02,32.58
2021-07-06,30.51
2021-07-07,29.48
2021-07-08,29.66
2021-07-09,30.24
2021-07-12,29.99
2021-07-13,30.08
2021-07-14,27.83
2021-07-15,27.23
2021-07-16,25.94
2021-07-19,24.82
2021-07-20,25.37
2021-07-21,27.18
2021-07-22,27.01
2021-07-23,26.58
2021-07-26,27.12
2021-07-27,26.26
2021-07-28,26.9
2021-07-29,26.78
2021-07-30,26.1
2021-08-02,25.79
2021-08-03,26.43
2021-08-04,25.69
2021-08-05,26.19
2021-08-06,26.39
2021-08-09,25.61
2021-08-10,26.26
2021-08-11,26.84
2021-08-12,26.87
2021-08-13,25.79
2021-08-16,24.79
2021-08-17,24.08
2021-08-18,23.45
2021-08-19,22.09
2021-08-20,21.95
2021-08-23,23.47
2021-08-24,24.38
2021-08-25,24.63
2021-08-26,24.0
2021-08-27,25.66
2021-08-30,25.25
2021-08-31,25.69
2021-09-01,25.08
2021-09-02,26.58
2021-09-03,25.92
2021-09-07,25.66
2021-09-08,24.91
2021-09-09,25.07
2021-09-10,24.98
2021-09-13,26.65
2021-09-14,26.28
2021-09-15,27.88
2021-09-16,27.33
2021-09-17,26.94
2021-09-20,25.48
2021-09-21,25.43
2021-09-22,26.75
2021-09-23,27.96
2021-09-24,28.1
2021-09-27,30.19
2021-09-28,29.9
2021-09-29,30.03
2021-09-30,29.58
2021-10-01,31.15
2021-10-04,31.81
2021-10-05,32.77
2021-10-06,32.0
2021-10-07,32.48
2021-10-08,33.63
2021-10-11,33.39
2021-10-12,33.01
2021-10-13,32.28
2021-10-14,31.99
2021-10-15,31.66
2021-10-18,32.93
2021-10-19,32.94
2021-10-20,33.36
2021-10-21,32.8
2021-10-22,33.93
2021-10-25,35.22
2021-10-26,35.36
2021-10-27,33.3
2021-10-28,33.83
2021-10-29,33.53
2021-11-01,34.81
2021-11-02,34.36
2021-11-03,33.85
2021-11-04,33.75
2021-11-05,33.42
2021-11-08,34.29
2021-11-09,33.74
2021-11-10,31.82
2021-11-11,32.12
2021-11-12,32.08
2021-11-15,31.98
2021-11-16,31.84
2021-11-17,30.76
2021-11-18,30.64
2021-11-19,29.12
2021-11-22,30.01
2021-11-23,31.92
2021-11-24,32.01
2021-11-26,29.7
2021-11-29,30.06
2021-11-30,29.65
2021-12-01,28.95
2021-12-02,29.65
2021-12-03,29.16
2021-12-06,29.84
2021-12-07,31.12
2021-12-08,30.77
2021-12-09,30.24
2021-12-10,30.77
2021-12-13,29.23
2021-12-14,28.74
2021-12-15,28.52
2021-12-16,28.38
2021-12-17,28.04
2021-12-20,26.98
2021-12-21,28.6
2021-12-22,28.92
2021-12-23,28.85
2021-12-27,29.64
2021-12-28,29.48
2021-12-29,29.26
2021-12-30,28.97
2021-12-31,28.99
2022-01-03,31.06
2022-01-04,33.38
2022-01-05,31.81
2022-01-06,32.76
2022-01-07,33.21
2022-01-10,32.38
2022-01-11,34.7
2022-01-12,34.75
2022-01-13,34.15
2022-01-14,35.51
2022-01-18,36.03
2022-01-19,35.83
2022-01-20,34.95
2022-01-21,33.75
2022-01-24,34.01
2022-01-25,36.77
2022-01-26,37.06
2022-01-27,37.26
2022-01-28,37.57
2022-01-31,37.67
2022-02-01,39.29
2022-02-02,39.62
2022-02-03,40.0
2022-02-04,40.8
2022-02-07,41.0
2022-02-08,39.35
2022-02-09,40.3
2022-02-10,40.68
2022-02-11,42.98
2022-02-14,41.23
2022-02-15,39.85
2022-02-16,39.65
2022-02-17,39.86
2022-02-18,39.56
2022-02-22,38.32
2022-02-23,38.69
2022-02-24,38.92
2022-02-25,38.74
2022-02-28,43.73
2022-03-01,46.79
2022-03-02,48.37
2022-03-03,47.75
2022-03-04,56.15
2022-03-07,55.38
2022-03-08,54.6
2022-03-09,57.5
2022-03-10,58.13
2022-03-11,57.95
2022-03-14,55.59
2022-03-15,54.53
2022-03-16,52.99
2022-03-17,58.01
2022-03-18,56.24
2022-03-21,60.96
2022-03-22,59.64
2022-03-23,59.84
2022-03-24,57.75
2022-03-25,58.71
2022-03-28,56.64
2022-03-29,56.79
2022-03-30,57.48
2022-03-31,56.74
2022-04-01,58.11
2022-04-04,57.79
2022-04-05,55.72
2022-04-06,56.1
2022-04-07,57.68
2022-04-08,61.8
2022-04-11,57.92
2022-04-12,59.14
2022-04-13,59.62
2022-04-14,59.34
2022-04-18,61.37
2022-04-19,60.38
2022-04-20,61.47
2022-04-21,59.2
2022-04-22,56.62
2022-04-25,54.92
2022-04-26,54.82
2022-04-27,55.59
2022-04-28,57.03
2022-04-29,55.09
2022-05-02,58.3
2022-05-03,59.24
