date,close
2020-01-27,39.64
2020-01-28,39.85
2020-01-29,39.59
2020-01-30,39.67
2020-01-31,39.13
2020-02-03,39.33
2020-02-04,40.03
2020-02-05,40.28
2020-02-06,41.01
2020-02-07,40.97
2020-02-10,41.25
2020-02-11,41.14
2020-02-12,40.79
2020-02-13,40.94
2020-02-14,41.21
2020-02-18,41.54
2020-02-19,41.45
2020-02-20,41.52
2020-02-21,40.5
2020-02-24,39.56
2020-02-25,32.83
2020-02-26,31.6
2020-02-27,31.26
2020-02-28,30.77
2020-03-02,31.55
2020-03-03,30.34
2020-03-04,30.98
2020-03-05,30.18
2020-03-06,29.36
2020-03-09,26.46
2020-03-10,27.91
2020-03-11,26.25
2020-03-12,23.43
2020-03-13,25.26
2020-03-16,22.86
2020-03-17,23.59
2020-03-18,22.1
2020-03-19,23.19
2020-03-20,23.92
2020-03-23,24.36
2020-03-24,26.79
2020-03-25,27.67
2020-03-26,28.0
2020-03-27,27.09
2020-03-30,27.75
2020-03-31,27.33
2020-04-01,27.31
2020-04-02,27.59
2020-04-03,27.11
2020-04-06,28.56
2020-04-07,28.8
2020-04-08,29.36
2020-04-09,29.65
2020-04-13,30.49
2020-04-14,31.32
2020-04-15,31.06
2020-04-16,31.72
2020-04-17,32.24
2020-04-20,32.38
2020-04-21,31.08
2020-04-22,31.98
2020-04-23,32.02
2020-04-24,32.24
2020-04-27,32.81
2020-04-28,32.26
2020-04-29,32.95
2020-04-30,32.75
2020-05-01,32.45
2020-05-04,31.97
2020-05-05,33.04
2020-05-06,33.54
2020-05-07,35.52
2020-05-08,35.66
2020-05-11,36.38
2020-05-12,35.7
2020-05-13,35.96
2020-05-14,36.6
2020-05-15,37.14
2020-05-18,37.69
2020-05-19,37.86
2020-05-20,39.08
2020-05-21,38.25
2020-05-22,39.66
2020-05-26,38.53
2020-05-27,38.63
2020-05-28,38.23
2020-05-29,39.21
2020-06-01,39.72
2020-06-02,39.98
2020-06-03,38.9
2020-06-04,37.78
2020-06-05,38.57
2020-06-08,39.63
2020-06-09,38.93
2020-06-10,38.78
2020-06-11,36.99
2020-06-12,36.98
2020-06-15,37.72
2020-06-16,38.12
2020-06-17,38.21
2020-06-18,38.39
2020-06-19,38.46
2020-06-22,38.81
2020-06-23,38.22
2020-06-24,37.23
2020-06-25,37.82
2020-06-26,37.57
2020-06-29,37.85
2020-06-30,38.28
2020-07-01,38.23
2020-07-02,38.42
2020-07-06,39.32
2020-07-07,38.85
2020-07-08,40.47
2020-07-09,41.43
2020-07-10,41.49
2020-07-13,40.18
2020-07-14,40.89
2020-07-15,40.08
2020-07-16,39.56
2020-07-17,39.97
2020-07-20,41.93
2020-07-21,41.55
2020-07-22,41.73
2020-07-23,41.42
2020-07-24,40.63
2020-07-27,41.28
2020-07-28,40.8
2020-07-29,41.43
2020-07-30,41.96
2020-07-31,42.65
2020-08-03,42.41
2020-08-04,42.49
2020-08-05,44.02
2020-08-06,44.31
2020-08-07,43.54
2020-08-10,43.04
2020-08-11,42.54
2020-08-12,43.3
2020-08-13,43.59
2020-08-14,43.19
2020-08-17,43.74
2020-08-18,44.29
2020-08-19,44.91
2020-08-20,45.42
2020-08-21,44.89
2020-08-24,44.51
2020-08-25,43.5
2020-08-26,43.91
2020-08-27,42.56
2020-08-28,42.45
2020-08-31,42.9
2020-09-01,43.08
2020-09-02,42.91
2020-09-03,40.37
2020-09-04,39.27
2020-09-08,38.99
2020-09-09,39.73
2020-09-10,39.49
2020-09-11,40.49
2020-09-14,40.96
2020-09-15,41.35
2020-09-16,41.15
2020-09-17,40.24
2020-09-18,40.27
2020-09-21,40.44
2020-09-22,41.08
2020-09-23,39.85
2020-09-24,39.67
2020-09-25,40.36
2020-09-28,40.99
2020-09-29,41.08
2020-09-30,40.79
2020-10-01,41.76
2020-10-02,40.86
2020-10-05,41.45
2020-10-06,41.21
2020-10-07,41.83
2020-10-08,41.59
2020-10-09,42.09
2020-10-12,42.18
2020-10-13,42.43
2020-10-14,42.68
2020-10-15,41.97
2020-10-16,41.06
2020-10-19,40.39
2020-10-20,39.88
2020-10-21,39.31
2020-10-22,39.6
2020-10-23,39.42
2020-10-26,38.6
2020-10-27,38.59
2020-10-28,37.66
2020-10-29,38.13
2020-10-30,36.87
2020-11-02,36.98
2020-11-03,37.99
2020-11-04,39.2
2020-11-05,40.7
2020-11-06,41.67
2020-11-09,42.02
2020-11-10,40.45
2020-11-11,42.13
2020-11-12,41.99
2020-11-13,43.12
2020-11-16,46.42
2020-11-17,48.95
2020-11-18,46.86
2020-11-19,47.92
2020-11-20,48.67
2020-11-23,49.34
2020-11-24,49.53
2020-11-25,49.55
2020-11-27,49.22
