date,close
2020-01-27,60.42
2020-01-28,59.67
2020-01-29,60.1
2020-01-30,60.0
2020-01-31,59.2
2020-02-03,59.33
2020-02-04,59.07
2020-02-05,59.28
2020-02-06,58.33
2020-02-07,57.7
2020-02-10,57.44
2020-02-11,57.82
2020-02-12,58.21
2020-02-13,58.36
2020-02-14,58.48
2020-02-18,59.02
2020-02-19,58.9
2020-02-20,59.18
2020-02-21,59.96
2020-02-24,59.11
2020-02-25,57.41
2020-02-26,55.57
2020-02-27,52.87
2020-02-28,51.31
2020-03-02,53.71
2020-03-03,53.05
2020-03-04,55.59
2020-03-05,53.99
2020-03-06,54.73
2020-03-09,50.76
2020-03-10,52.94
2020-03-11,48.75
2020-03-12,44.59
2020-03-13,44.14
2020-03-16,40.28
2020-03-17,43.08
2020-03-18,38.26
2020-03-19,39.14
2020-03-20,37.82
2020-03-23,36.86
2020-03-24,40.78
2020-03-25,40.89
2020-03-26,44.01
2020-03-27,44.48
2020-03-30,44.51
2020-03-31,44.91
2020-04-01,42.79
2020-04-02,45.28
2020-04-03,44.36
2020-04-06,46.85
2020-04-07,47.53
2020-04-08,50.86
2020-04-09,52.95
2020-04-13,51.66
2020-04-14,53.48
2020-04-15,52.01
2020-04-16,52.17
2020-04-17,54.62
2020-04-20,51.84
2020-04-21,50.01
2020-04-22,51.1
2020-04-23,50.37
2020-04-24,51.37
2020-04-27,52.01
2020-04-28,51.88
2020-04-29,52.3
2020-04-30,50.71
2020-05-01,49.41
2020-05-04,49.14
2020-05-05,49.84
2020-05-06,48.05
2020-05-07,47.82
2020-05-08,48.77
2020-05-11,48.2
2020-05-12,46.8
2020-05-13,44.96
2020-05-14,46.58
2020-05-15,45.46
2020-05-18,49.35
2020-05-19,48.5
2020-05-20,48.75
2020-05-21,48.07
2020-05-22,48.12
2020-05-26,49.4
2020-05-27,49.91
2020-05-28,51.03
2020-05-29,51.04
2020-06-01,52.22
2020-06-02,52.27
2020-06-03,52.75
2020-06-04,51.94
2020-06-05,53.48
2020-06-08,55.5
2020-06-09,53.67
2020-06-10,52.2
2020-06-11,50.0
2020-06-12,49.71
2020-06-15,49.9
2020-06-16,50.72
2020-06-17,50.46
2020-06-18,50.37
2020-06-19,48.71
2020-06-22,49.13
2020-06-23,49.04
2020-06-24,48.16
2020-06-25,47.97
2020-06-26,47.5
2020-06-29,49.21
2020-06-30,49.16
2020-07-01,49.75
2020-07-02,50.11
2020-07-06,50.62
2020-07-07,50.29
2020-07-08,50.87
2020-07-09,49.79
2020-07-10,50.59
2020-07-13,51.81
2020-07-14,51.52
2020-07-15,52.4
2020-07-16,52.91
2020-07-17,55.08
2020-07-20,52.82
2020-07-21,52.27
2020-07-22,52.99
